,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,41.3223,34.8837,,,,,,397.5,,,6.204,14.0,0.0,43.8596,18700.0,34.3,,,,6.4,53.5714,9.0,8.0,88.889,3.0,7.0,75.0,
7,2007,50.0,47.2868,,78.1,0.249,136.0,,313.611,1074.0,,6.676,20.0,0.0,49.1228,19300.0,34.5,22.2,,,6.6,57.1429,9.0,8.0,88.889,3.0,7.0,75.0,
8,2008,47.5207,42.6357,,,,123.7,,277.5,,,4.421,27.0,0.0,49.1228,19500.0,34.3,23.1,,,6.9,57.1429,9.0,8.0,88.889,3.0,6.0,75.0,
9,2009,42.562,35.6589,,,,121.0,,278.333,,,3.762,0.0,0.0,43.8596,16800.0,33.1,23.2,,,5.7,57.1429,9.0,8.0,88.889,3.0,8.0,75.0,0.0
10,2010,43.8017,33.3333,,,,125.7,,260.556,,,3.651,0.0,0.0,43.8596,18845.0,33.0,22.8,,,5.6,67.8571,8.0,7.0,87.5,3.0,6.0,75.0,0.0
11,2011,49.1736,39.5349,,,,121.4,,263.333,,1.379,5.342,0.0,0.0,52.6316,18909.0,33.0,26.0,,1.0,9.0,67.8571,9.0,8.0,88.889,3.0,6.0,75.0,0.0
12,2012,54.5455,51.1628,14.0,,,122.0,,281.028,1394.75,2.466,25.299,1.0,0.007,49.1228,19220.0,32.24,25.0,,0.0,10.0,67.8571,9.0,8.0,88.889,3.0,7.0,,0.0
13,2013,54.5455,47.2868,14.4,,,131.4,,290.778,1461.98,3.04,7.017,1.0,0.001,52.6316,20693.0,32.79,23.19,,0.0,17.0,73.2143,9.0,8.0,88.889,3.0,7.0,75.0,0.0
14,2014,59.0909,56.5891,13.1,,,109.746,,248.367,1061.94,2.751,6.543,2.0,0.12,52.6316,21898.0,34.63,24.24,,0.0,12.0,71.4286,9.0,8.0,88.889,3.0,6.0,75.0,0.0
15,2015,54.9587,48.8372,,,,58.9,1.262,142.342,582.75,3.186,5.53,1.0,0.0,49.1228,12129.0,37.37,20.0,,,10.0,75.0,11.0,10.0,90.909,3.0,12.0,75.0,0.0
16,2016,53.719,48.8372,,,,58.732,0.927,133.93,451.0,3.953,6.391,0.0,0.0,43.8596,12952.0,38.0,20.0,,,9.0,75.0,10.0,9.0,90.0,3.0,6.0,75.0,0.0
17,2017,53.3058,50.3876,6.908,,,59.5,1.082,138.227,484.0,4.125,6.425,10.0,,38.5965,13955.0,37.0,,,,,75.0,11.0,10.0,90.909,3.0,6.0,75.0,0.0
18,2018,50.0,52.7132,6.317,,,61.868,1.01,148.361,498.0,4.417,9.279,1.0,,33.3333,14800.0,38.0,,,,,60.7143,10.0,9.0,90.0,3.0,8.0,,
19,2019,,,,,,,,,,,,,,,5400.0,,,,,,,11.0,10.0,90.909,3.0,7.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
