,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,21.9008,15.5039,,,,31600.0,,,2018.85,1.029,2.144,,,3.5088,88400.0,,,,,,55.3571,14.0,13.0,92.857,1.0,14.0,75.0,
6,2006,25.2066,21.7054,,,,31000.0,,118095.0,2099.49,0.954,1.6680000000000001,,,3.5088,86600.0,,,,,,55.3571,13.0,12.0,92.308,1.0,17.0,75.0,
7,2007,34.2975,36.4341,,,,30500.0,602.524,116695.0,2107.06,1.153,2.116,,,3.5088,85500.0,,,,,,60.7143,12.0,11.0,91.667,1.0,15.0,75.0,
8,2008,41.3223,29.4574,,,,29100.0,,110973.0,2251.67,0.902,2.969,,,49.1228,84100.0,40.0,28.0,,,28.0,60.7143,13.0,12.0,92.308,1.0,18.0,75.0,
9,2009,40.4959,30.2326,,,,27400.0,6.797,116000.0,1978.72,,1.333,,,38.5965,88500.0,39.0,,,,,66.0714,13.0,12.0,92.308,1.0,16.0,75.0,
10,2010,40.4959,32.5581,,,,27400.0,6.627,116000.0,2023.02,,1.338,,,38.5965,87002.0,39.0,,,,,60.7143,13.0,12.0,92.308,1.0,16.0,75.0,
11,2011,41.7355,40.3101,,,,27533.0,6.484,109639.0,2018.47,,4.737,0.0,0.0,43.8596,80100.0,39.0,,,,,42.8571,12.0,11.0,91.667,,,,
12,2012,42.1488,41.0853,,,,27177.0,6.427,108250.0,1935.95,,16.105,,0.004,38.5965,80987.0,41.0,,,,,48.2143,12.0,11.0,91.667,1.0,,,
13,2013,29.7521,16.2791,,,,,,,,,,,,33.3333,113000.0,41.0,,,,,57.1429,12.0,10.0,83.333,1.0,20.0,75.0,
14,2014,43.3884,41.8605,,,,42282.0,19.567,241744.0,1767.87,1.161,22.398,9.0,0.001,33.3333,97065.0,41.0,,,,,57.1429,11.0,10.0,90.909,1.0,13.0,75.0,
15,2015,47.5207,42.6357,,,,42038.0,19.511,173398.0,1608.87,,1.134,8.0,0.0,49.1228,102173.0,42.0,,,,22.5,57.1429,13.0,12.0,92.308,1.0,6.0,75.0,
16,2016,47.1074,41.8605,,,,42195.0,22.966,172522.0,1767.87,,0.799,9.0,0.055,49.1228,104466.0,42.0,,,,23.5,57.1429,13.0,12.0,92.308,1.0,8.0,75.0,
17,2017,50.8264,45.7364,,,,42268.0,22.658,172806.0,1627.8,,0.776,7.0,0.005,52.6316,106704.0,42.0,,,,34.8,60.7143,13.0,12.0,92.308,1.0,6.0,75.0,
18,2018,51.6529,47.2868,,,,40630.0,19.254,161608.0,1730.01,0.724,,9.0,0.005,47.3684,107003.0,42.0,,,,35.0,66.0714,12.0,11.0,91.667,1.0,9.0,75.0,
19,2019,,,,,,,,,,,,,,,133700.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
