,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,8.7719,44065.0,,,,,,46.4286,9.0,6.0,66.667,,11.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,8.7719,47582.0,,,,,,46.4286,9.0,7.0,77.778,,8.0,75.0,
9,2009,13.6364,1.5504,,,,,,,,,,,,8.7719,49000.0,,,,,,46.4286,10.0,9.0,90.0,,5.0,75.0,
10,2010,14.876,1.5504,,,,,,,,,,,,8.7719,51000.0,,,,,,51.7857,10.0,9.0,90.0,1.0,6.0,75.0,
11,2011,14.876,1.5504,,,,,,,,,,,,8.7719,53000.0,,,,,,51.7857,10.0,8.0,80.0,1.0,5.0,75.0,
12,2012,13.6364,1.5504,,,,,,,,,,,,3.5088,55000.0,,,,,,51.7857,10.0,8.0,80.0,1.0,13.0,75.0,
13,2013,14.876,1.5504,,,,,,,,,,,,8.7719,71867.0,,,,,,51.7857,9.0,6.0,66.667,1.0,12.0,75.0,
14,2014,14.876,1.5504,,,,,,,,,,,,8.7719,73000.0,,,,,,51.7857,10.0,7.0,70.0,1.0,5.0,75.0,
15,2015,14.876,1.5504,,,,,,,,,,,,8.7719,73000.0,,,,,,51.7857,14.0,10.0,71.429,1.0,14.0,74.86,
16,2016,16.1157,1.5504,,,,,,,,,,,,14.0351,74000.0,,,,,,51.7857,11.0,9.0,81.818,1.0,12.0,75.0,
17,2017,18.595,4.6512,,,,,,,,,,,,14.0351,71000.0,,,,,,55.3571,11.0,9.0,81.818,1.0,10.0,75.0,
18,2018,26.0331,12.4031,,,,,,,,,,,,28.0702,71000.0,,,,,,55.3571,10.0,9.0,90.0,1.0,11.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
