,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,31.5789,30.2083,,,,,,265.684,897.122,0.027,2.393,,,8.7719,21600.0,,,,,,57.1429,8.0,7.0,87.5,1.0,7.0,75.0,
8,2008,35.8852,39.5833,,,,,,343.713,847.668,0.024,2.195,,,8.7719,32000.0,,,,,,57.1429,8.0,7.0,87.5,1.0,5.0,75.0,
9,2009,36.3636,40.625,,,,,,399.11,766.518,0.007,2.235,,,8.7719,34300.0,,,,,,57.1429,7.0,6.0,85.714,1.0,4.0,75.0,
10,2010,39.2344,46.875,,,,167.96,,458.9,800.651,0.028,6.885,,,8.7719,46600.0,,,,,,57.1429,7.0,6.0,85.714,1.0,4.0,75.0,
11,2011,45.933,58.3333,,,,216.628,,580.921,1000.0,0.014,8.114,,,14.0351,60400.0,,,,,,57.1429,8.0,7.0,87.5,1.0,5.0,75.0,
12,2012,43.5407,53.125,,,,271.745,,693.0,1400.0,0.056,7.456,,,14.0351,72800.0,,,,,,57.1429,8.0,7.0,87.5,1.0,5.0,75.0,
13,2013,47.3684,58.3333,,,,334.186,,923.681,2317.18,0.031,9.915,,,14.0351,80300.0,,,,,,62.5,8.0,7.0,87.5,1.0,7.0,75.0,
14,2014,48.3254,60.4167,,,,363.397,,1112.84,1839.81,0.23,13.125,,,19.2982,92600.0,,,,,,57.1429,8.0,7.0,87.5,1.0,6.0,75.0,
15,2015,51.1962,60.4167,,,,404.468,,1240.39,2000.0,0.455,17.986,,,29.8246,110000.0,31.0,28.0,,,,57.1429,7.0,6.0,85.714,1.0,4.0,75.0,
16,2016,53.11,62.5,,,,633.842,,1736.52,2384.92,1.037,29.86,,,29.8246,116000.0,32.0,28.0,,,,60.7143,8.0,7.0,87.5,1.0,4.0,75.0,
17,2017,53.11,62.5,,,,696.0,,2192.21,3785.58,1.516,53.814,,,29.8246,123000.0,32.0,29.0,,,,60.7143,8.0,7.0,87.5,1.0,4.0,75.0,
18,2018,53.11,62.5,,,,831.09,,2598.26,4769.84,2.847,73.855,,,29.8246,132000.0,33.0,29.0,,,,60.7143,8.0,7.0,87.5,1.0,4.0,75.0,
19,2019,,,,,,,,,,,,,,,137000.0,,,,,,,7.0,6.0,85.714,1.0,5.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
