,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2012,31.405,27.907,,,,688.0,0.236,2221.0,,,39.2,,,24.5614,21500.0,,,,,,46.4286,9.0,8.0,88.889,3.0,,,
13,2013,38.0165,37.2093,,,,664.0,0.229,2182.0,,,44.6,,,24.5614,25000.0,,,,,,53.5714,9.0,8.0,88.889,3.0,11.0,98.0,
14,2014,41.3223,39.5349,,,,676.0,0.214,2240.0,,13.8,38.8,,,24.5614,26000.0,,,,,,62.5,9.0,8.0,88.889,3.0,17.0,95.0,0.228
15,2015,37.6033,32.5581,,,,660.0,0.201,2203.0,,12.9,44.8,,,24.5614,28000.0,,,,,,62.5,9.0,8.0,88.889,3.0,10.0,95.0,4.4879999999999995
16,2016,38.4298,29.4574,,,,632.0,,2118.0,,13.6,35.7,,,35.0877,30000.0,52.9,35.0,,,,62.5,9.0,8.0,88.889,3.0,11.0,96.0,2.815
17,2017,42.1488,31.0078,,,,627.0,,2080.0,,14.5,32.8,,,43.8596,29000.0,53.4,37.9,,,,66.0714,10.0,9.0,90.0,3.0,7.0,100.0,0.444
18,2018,46.281,38.7597,,,,630.0,,2140.0,,15.6,32.0,,,43.8596,30612.0,53.2,34.8,,,,66.0714,11.0,10.0,90.909,3.0,9.0,100.0,0.417
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
