,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.0496,,,,,,,,,,,,,8.7719,11300.0,,,,,,51.7857,9.0,8.0,88.889,3.0,7.0,75.0,
8,2008,14.0496,,,,,,,,,,,,,8.7719,9700.0,,,,,,51.7857,9.0,8.0,88.889,3.0,6.0,75.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,10300.0,,,,,,51.7857,8.0,7.0,87.5,3.0,6.0,75.0,
10,2010,14.0496,,,,,,,,,,,,,8.7719,10000.0,,,,,,51.7857,9.0,8.0,88.889,3.0,5.0,75.0,
11,2011,,,,,,,,,,,,,,,10300.0,,,,,,,9.0,8.0,88.889,3.0,5.0,75.0,
12,2012,14.0496,,,,,,,,,,,,,8.7719,14500.0,,,,,,51.7857,10.0,9.0,90.0,1.0,7.0,75.0,
13,2013,14.0496,,,,,,,,,,,,,8.7719,13000.0,,,,,,51.7857,10.0,9.0,90.0,1.0,7.0,75.0,
14,2014,11.5702,,,,,,,,,,,,,8.7719,14000.0,,,,,,41.0714,10.0,9.0,90.0,1.0,,,
15,2015,19.8347,6.9767,,,,62.822,,,,,,,,24.5614,17500.0,,,,,2.3,44.6429,11.0,9.0,81.818,1.0,,,
16,2016,34.2975,20.9302,,,,117.953,,,,,,,,38.5965,19000.0,56.0,,,,1.786,60.7143,10.0,8.0,80.0,1.0,7.0,75.0,0.107
17,2017,37.6033,27.1318,,,,123.383,,344.712,,,,,,33.3333,20000.0,,,,,3.6,66.0714,10.0,8.0,80.0,1.0,8.0,74.2,0.237
18,2018,31.8182,16.2791,,,,,,,,,,,,33.3333,21000.0,,,,,6.0,66.0714,10.0,8.0,80.0,1.0,13.0,96.0,0.198
19,2019,,,,,,,,,,,,,,,,,,,,,,9.0,7.0,77.778,1.0,6.0,98.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
