,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,11.157,,,,,,,,,,,,,,,,,,,,48.2143,9.0,8.0,88.889,3.0,7.0,75.0,
11,2011,11.157,,,,,,,,,,,,,,,,,,,,48.2143,8.0,7.0,87.5,3.0,6.0,75.0,
12,2012,11.157,,,,,,,,,,,,,,,,,,,,48.2143,7.0,6.0,85.714,3.0,6.0,75.0,
13,2013,11.157,,,,,,,,,,,,,,,,,,,,48.2143,7.0,6.0,85.714,3.0,12.0,75.0,
14,2014,11.157,,,,,,,,,,,,,,,,,,,,48.2143,7.0,6.0,85.714,3.0,4.0,75.0,
15,2015,16.5289,,,,,,,,,,,,,19.2982,589.0,,,,,,51.7857,8.0,7.0,87.5,3.0,4.0,75.0,
16,2016,16.5289,,,,,,,,,,,,,19.2982,747.0,,,,,,51.7857,9.0,8.0,88.889,3.0,4.0,75.0,
17,2017,16.5289,,,,,,,,,,,,,19.2982,908.0,,,,,,51.7857,7.0,6.0,85.714,3.0,4.0,75.0,
18,2018,16.5289,,,,,,,,,,,,,19.2982,1143.0,,,,,,51.7857,7.0,6.0,85.714,3.0,4.0,74.28,
19,2019,16.5289,,,,,,,,,,,,,19.2982,1371.0,,,,,,51.7857,7.0,6.0,85.714,3.0,4.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
