,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,39.6694,35.6589,,,,1856.0,0.816,5495.0,,21.497,124.433,15.0,0.001,28.0702,59735.0,,,,,,60.7143,13.0,11.0,84.615,1.0,8.0,97.0,
6,2006,42.562,41.0853,,,,1839.9,0.923,6049.44,,16.281,115.147,9.0,0.084,28.0702,66663.0,,,,,,60.7143,13.0,11.0,84.615,1.0,13.0,99.0,
7,2007,40.4959,37.2093,,,,1763.5,0.87,5921.94,,18.043,124.246,6.0,0.016,28.0702,68000.0,,,,,,60.7143,13.0,12.0,92.308,1.0,7.0,96.0,
8,2008,43.3884,42.6357,,,,1861.0,0.852,5425.83,,23.909,128.755,5.0,0.025,28.0702,68838.0,,,,,,60.7143,13.0,12.0,92.308,1.0,9.0,94.0,
9,2009,43.3884,42.6357,,,,1769.0,0.769,5661.39,,18.262,110.974,9.0,0.015,28.0702,72868.0,,,,,,60.7143,13.0,12.0,92.308,1.0,7.0,95.0,
10,2010,44.6281,42.6357,,,,1724.0,0.77,5791.67,,21.59,120.897,4.0,0.094,28.0702,90000.0,,,,,,66.0714,13.0,12.0,92.308,1.0,7.0,97.0,
11,2011,44.6281,42.6357,,,,1656.0,0.67,5622.5,,20.569,109.398,10.0,0.033,28.0702,91000.0,,,,,,66.0714,12.0,11.0,91.667,1.0,7.0,95.0,
12,2012,46.281,45.7364,,,,1019.0,0.28,3366.94,,7.809,61.362,5.0,0.002,28.0702,91000.0,,,,,,66.0714,11.0,10.0,90.909,1.0,8.0,95.0,
13,2013,47.1074,47.2868,,,,997.0,0.303,3363.33,,10.615,59.687,3.0,0.1,28.0702,69000.0,,,,,,66.0714,11.0,10.0,90.909,1.0,7.0,91.0,
14,2014,48.3471,47.2868,,,,1028.0,0.308,3461.67,,9.548,60.87,3.0,0.033,28.0702,77000.0,,,,,,71.4286,11.0,10.0,90.909,1.0,7.0,97.0,0.483
15,2015,50.8264,51.938,,,,994.0,0.303,3390.83,,6.454,59.463,3.0,0.004,28.0702,74000.0,,,,,,71.4286,11.0,10.0,90.909,1.0,6.0,97.0,0.172
16,2016,52.8926,55.814,,,,1016.0,0.314,3421.94,15848.7,6.22,57.054,4.0,0.0,28.0702,94000.0,,,,,,71.4286,11.0,10.0,90.909,1.0,11.0,95.0,0.228
17,2017,51.6529,51.938,,,,1044.0,0.33,3767.22,,7.477,54.609,,0.009,31.5789,99000.0,,,,,,71.4286,13.0,12.0,92.308,1.0,7.0,99.0,0.153
18,2018,53.719,55.814,,,,1031.0,0.334,3722.13,,6.295,53.818,0.0,0.0,31.5789,103000.0,,,,,,71.4286,13.0,12.0,92.308,1.0,6.0,98.0,0.173
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
