,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,12.8099,,,,,,,,,,,,,3.5088,140000.0,,,,,,51.7857,10.0,9.0,90.0,3.0,7.0,75.0,
7,2007,28.5124,18.6047,,,,208.632,,364.185,,,,,,28.0702,170000.0,36.0,15.6,,,8.0,51.7857,10.0,9.0,90.0,3.0,6.0,75.0,
8,2008,29.3388,18.6047,,,,198.871,,364.185,,,,,,33.3333,186000.0,36.1,15.7,,,10.222,50.0,10.0,9.0,90.0,3.0,5.0,,
9,2009,43.8017,34.8837,,,,191.69,,370.397,,,,,,52.6316,177000.0,36.0,16.0,,,12.497,55.3571,10.0,9.0,90.0,3.0,6.0,75.0,
10,2010,46.281,34.8837,,,,196.598,,369.81,,,,,,52.6316,204000.0,35.2,16.2,,,9.025,66.0714,10.0,9.0,90.0,3.0,5.0,75.0,
11,2011,43.8017,34.8837,,,,216.134,,382.022,,,,,,47.3684,236000.0,35.0,17.0,,,13.516,60.7143,12.0,10.0,83.333,3.0,8.0,75.0,
12,2012,42.562,34.8837,,,,233.998,,397.636,,,,,,47.3684,257000.0,36.0,17.0,,,12.862,55.3571,12.0,10.0,83.333,1.0,6.0,75.0,
13,2013,45.8678,34.8837,,,,265.143,,413.304,,,,,,47.3684,275000.0,36.0,28.0,,,13.917,69.6429,12.0,11.0,91.667,1.0,5.0,75.0,
14,2014,47.1074,34.8837,,,,257.797,,436.316,,,,,,52.6316,305000.0,36.0,17.0,,,14.833,69.6429,13.0,12.0,92.308,1.0,5.0,75.0,
15,2015,47.1074,37.2093,,,,263.529,,469.306,1934.0,,,,,52.6316,358000.0,38.0,18.0,,,20.452,64.2857,11.0,10.0,90.909,1.0,5.0,75.0,
16,2016,49.1736,43.4109,,,,290.253,,512.29,2191.0,,0.36,,,47.3684,384000.0,39.0,20.0,,,56.21,64.2857,13.0,12.0,92.308,1.0,6.0,75.0,
17,2017,51.2397,44.9612,,,,328.093,,499.048,2179.0,,0.302,,,47.3684,425000.0,41.0,21.0,,,58.046,69.6429,12.0,11.0,91.667,1.0,6.0,75.0,
18,2018,52.4793,44.9612,,,,304.209,,489.08,2518.0,,0.583,,,52.6316,459000.0,42.0,22.0,,,69.819,69.6429,12.0,11.0,91.667,1.0,5.0,75.0,
19,2019,,,,,,,,,,,,,,,492000.0,,,,,,,11.0,10.0,90.909,1.0,9.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
