,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,17.7686,6.9767,,,,33.332,,,,,,,,8.7719,6959.0,,,,,27.467,51.7857,12.0,10.0,83.333,2.0,8.0,75.0,
8,2008,32.2314,24.8062,,,,19.567,,82.307,314.766,0.0,3.269,,,29.8246,7459.0,31.0,31.0,,,42.77,51.7857,11.0,10.0,90.909,2.0,5.0,75.0,
9,2009,40.9091,39.5349,,,,30.335,,73.965,313.595,0.0,3.591,,,33.3333,8575.0,29.0,28.0,,,52.556,51.7857,10.0,9.0,90.0,2.0,9.0,75.0,
10,2010,44.2149,43.4109,,,,31.0,,60.077,315.249,0.0,3.7,,,38.5965,9022.0,28.0,26.0,,,57.286,51.7857,10.0,9.0,90.0,2.0,4.0,75.0,
11,2011,42.9752,43.4109,,,,32.921,,77.46,219.023,0.0,3.383,,,38.5965,9925.0,28.0,26.0,,,55.001,46.4286,9.0,8.0,88.889,2.0,6.0,,
12,2012,45.8678,44.186,,,,39.056,,68.88,217.941,0.0,3.208,,,35.0877,11144.0,28.0,26.0,,,,60.7143,13.0,12.0,92.308,1.0,7.0,75.0,
13,2013,47.9339,45.7364,,,,43.057,,98.745,67.251,,2.223,,0.0,35.0877,11847.0,28.0,26.0,,0.0,,66.0714,13.0,12.0,92.308,1.0,8.0,75.0,1.1
14,2014,45.4545,43.4109,,,,42.142,,106.476,112.832,,,,0.0,29.8246,12499.0,28.0,25.0,,0.0,,66.0714,13.0,12.0,92.308,1.0,5.0,75.0,1.2
15,2015,42.1488,41.8605,,,,46.943,,148.413,89.119,,,0.0,0.0,29.8246,13893.0,28.0,26.0,,0.0,,55.3571,13.0,12.0,92.308,1.0,6.0,,
16,2016,42.1488,39.5349,,,,72.957,,212.931,249.636,,,0.0,0.0,29.8246,15706.0,29.0,25.0,,0.0,,60.7143,10.0,9.0,90.0,1.0,7.0,75.0,
17,2017,46.6942,43.4109,14.477,,,80.745,,236.956,279.0,,,0.0,0.0,29.8246,17973.0,31.0,27.0,,0.0,,71.4286,10.0,9.0,90.0,1.0,4.0,75.0,0.0
18,2018,49.1736,43.4109,12.097,,,70.993,,223.248,251.136,,,0.0,0.0,40.3509,21357.0,32.0,31.0,0.0,0.0,,71.4286,11.0,10.0,90.909,1.0,7.0,75.0,0.0
19,2019,,,,,,,,,,,,,,,22634.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
