,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,34.2975,25.5814,,,,169.661,,,1160.0,0.509,1.804,,,26.3158,9600.0,,,,,,62.5,10.0,8.0,80.0,3.0,15.0,75.0,0.0
8,2008,35.124,27.1318,,,,173.791,,,1160.0,0.455,1.822,,,26.3158,9000.0,,,,,,62.5,10.0,8.0,80.0,3.0,9.0,75.0,0.0
9,2009,35.124,27.1318,,,,154.081,,,1050.0,0.42,1.323,,,26.3158,8300.0,,,,,,62.5,10.0,8.0,80.0,3.0,9.0,75.0,0.0
10,2010,38.4298,33.3333,,,,131.62,,,980.0,0.441,1.302,,,26.3158,8500.0,,,,,,62.5,10.0,8.0,80.0,1.0,10.0,75.0,0.0
11,2011,40.4959,37.2093,,,,133.863,,,1070.0,0.579,1.915,,,26.3158,9200.0,,,,,,62.5,10.0,8.0,80.0,1.0,11.0,75.0,0.0
12,2012,41.7355,39.5349,,,,126.483,,,1040.0,0.615,2.014,,,26.3158,9200.0,,,,,,62.5,10.0,8.0,80.0,1.0,10.0,75.0,0.0
13,2013,40.9091,40.3101,,,,125.267,,,1100.0,0.638,1.951,,,26.3158,9100.0,,,,,,57.1429,11.0,9.0,81.818,1.0,14.0,75.0,
14,2014,,,,,,,,,,,,,,,9600.0,,,,,,,11.0,9.0,81.818,1.0,12.0,75.0,
15,2015,33.8843,24.8062,,,,,,,,,,,,26.3158,9700.0,,,,,,62.5,11.0,9.0,81.818,1.0,11.0,75.0,
16,2016,30.5785,24.8062,,,,,,,,,,,,22.807,10000.0,,,,,,51.7857,10.0,8.0,80.0,1.0,12.0,75.0,
17,2017,26.4463,13.1783,,,,,,,,,,,,26.3158,15300.0,,,,,,57.1429,9.0,7.0,77.778,1.0,10.0,75.0,
18,2018,25.2066,14.7287,,,,,,,,,,,,22.807,15800.0,,,,,,51.7857,10.0,8.0,80.0,1.0,12.0,75.0,
19,2019,,,,,,,,,,,,,,,16400.0,,,,,,,11.0,9.0,81.818,1.0,9.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
