,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,12.8099,,,,,,,,,,,,,3.5088,26800.0,,,,,,51.7857,11.0,8.0,72.727,1.0,7.0,75.0,
7,2007,15.2893,,,,,,,,,,,,,8.7719,27300.0,,,,,,57.1429,11.0,9.0,81.818,1.0,6.0,75.0,0.245
8,2008,15.2893,,,,,,,,,,,,,8.7719,27600.0,,,,,,57.1429,10.0,8.0,80.0,1.0,8.0,75.0,0.423
9,2009,17.7686,2.3256,,,,,,,,,,,,14.0351,28200.0,,,,,,57.1429,10.0,8.0,80.0,1.0,9.0,75.0,0.332
10,2010,21.4876,6.9767,,,,,,,,,,,,19.2982,29300.0,,,,,,57.1429,9.0,8.0,88.89,1.0,9.0,75.0,0.524
11,2011,21.4876,6.9767,,,,,,,,,,,,19.2982,30700.0,,,,,,57.1429,11.0,10.0,90.91,1.0,6.0,75.0,0.292
12,2012,20.2479,6.9767,,,,,,,,,,,,19.2982,30000.0,,,,,,51.7857,11.0,10.0,90.909,1.0,7.0,75.0,
13,2013,24.7934,11.6279,,,,,,,,,,,,28.0702,31100.0,,,,,,51.7857,11.0,10.0,90.909,1.0,6.0,75.0,
14,2014,23.5537,11.6279,,,,,,,,,,,,22.807,33900.0,,,,,,51.7857,12.0,11.0,91.667,1.0,7.0,75.0,
15,2015,37.6033,27.1318,,,,17922.699,,64085.0,,,,,,28.0702,33960.0,,,,,10.7,71.4286,13.0,11.0,84.615,1.0,8.0,75.0,0.274
16,2016,46.281,38.7597,,,,17701.0,,60881.0,118414.0,,,,,38.5965,32544.0,,,,,11.0,71.4286,12.0,11.0,91.667,1.0,9.0,75.0,0.214
17,2017,48.7603,41.0853,,,,17471.0,,59261.0,110692.0,,,,,43.8596,32462.0,22.5,,,,6.6,71.4286,11.0,10.0,90.909,1.0,10.0,75.0,0.102
18,2018,50.0,41.0853,,,,17363.0,,62480.0,118710.0,,,,,49.1228,33176.0,21.9,,,,4.7,71.4286,12.0,11.0,91.667,1.0,12.0,75.0,0.182
19,2019,,,,,,,,,,,,,,,38100.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
