,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.0496,,,,,,,,,,,,,8.7719,9800.0,,,,,,51.7857,8.0,7.0,87.5,3.0,11.0,75.0,
8,2008,14.0496,,,,,,,,,,,,,8.7719,7400.0,,,,,,51.7857,8.0,7.0,87.5,3.0,22.0,75.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,7400.0,,,,,,51.7857,8.0,7.0,87.5,3.0,10.0,75.0,
10,2010,14.0496,,,,,,,,,,,,,8.7719,7600.0,,,,,,51.7857,8.0,7.0,87.5,3.0,10.0,75.0,
11,2011,14.0496,,,,,,,,,,,,,8.7719,8600.0,,,,,,51.7857,8.0,7.0,87.5,3.0,5.0,75.0,
12,2012,21.4876,9.3023,,,,74.449,,,,,,,,19.2982,10700.0,,,,,2.5,51.7857,8.0,7.0,87.5,3.0,7.0,75.0,
13,2013,26.4463,11.6279,,,,77.622,,,,,,,,35.0877,12157.0,57.0,,,,4.5,51.7857,8.0,7.0,87.5,1.0,6.0,75.0,
14,2014,33.4711,15.5039,,,,82.647,,,,,,,,47.3684,12949.0,57.0,32.3,,,5.1,60.7143,8.0,7.0,87.5,1.0,8.0,75.0,
15,2015,37.1901,24.8062,,,,38.515,,86.7,,,,,,42.1053,16000.0,57.0,34.2,,,9.4,60.7143,8.0,7.0,87.5,1.0,6.0,75.0,
16,2016,39.2562,28.6822,,,,48.07,,95.9,,,,,,42.1053,16940.0,55.0,34.5,,,11.5,60.7143,9.0,8.0,88.889,1.0,9.0,75.0,
17,2017,40.4959,26.3566,,,,41.506,,85.567,,,,,,52.6316,20000.0,55.0,34.1,,,14.4,60.7143,10.0,9.0,90.0,1.0,8.0,75.0,
18,2018,41.7355,28.6822,,,,42.422,,89.854,,,,,,52.6316,20000.0,54.0,35.0,,,16.5,60.7143,9.0,8.0,88.889,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
