,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,15.2893,,,,,,,,,,,,,14.0351,5169.0,,,,,1.734,51.7857,10.0,8.0,80.0,1.0,5.0,75.0,
7,2007,19.8347,8.5271,,,,17.6,,,,,,,,14.0351,7300.0,,,,,1.634,51.7857,10.0,8.0,80.0,1.0,8.0,75.0,
8,2008,41.7355,30.2326,,,,22.067,,39.56,,,,0.0,0.0,47.3684,7800.0,30.0,22.0,,,2.029,62.5,12.0,10.0,83.333,1.0,15.0,75.0,0.0
9,2009,42.562,34.1085,,,,23.15,,53.2,,,,0.0,0.0,47.3684,7800.0,30.0,21.0,,,2.364,57.1429,10.0,8.0,80.0,1.0,8.0,75.0,0.025
10,2010,46.6942,39.5349,,,,9.72,,49.3,,,0.175,0.0,0.0,47.3684,6800.0,30.0,23.0,,,1.6059999999999999,62.5,8.0,7.0,87.5,1.0,8.0,75.0,0.0
11,2011,48.7603,41.0853,,,,10.1,,45.4,,,0.162,0.0,0.0,52.6316,6800.0,30.0,21.0,,,2.5380000000000003,62.5,8.0,7.0,87.5,1.0,6.0,65.62,0.0
12,2012,53.3058,43.4109,,,,23.34,,35.8,,,0.25,0.0,0.0,66.6667,7500.0,29.0,22.0,,,1.095,62.5,9.0,8.0,88.889,1.0,6.0,72.22,0.0
13,2013,52.4793,41.8605,,,,27.16,,46.67,,,0.281,0.0,0.0,66.6667,7100.0,29.0,19.0,,,2.6,62.5,9.0,8.0,88.889,1.0,6.0,74.33,0.0
14,2014,52.8926,41.8605,,,,26.08,,41.32,,,0.126,0.0,0.0,68.4211,7600.0,29.0,20.0,,,3.2,62.5,10.0,9.0,90.0,1.0,8.0,75.0,0.0
15,2015,50.4132,37.2093,,,,,,37.83,,,0.141,0.0,0.0,68.4211,8800.0,29.0,20.0,,0.0,6.8,62.5,10.0,9.0,90.0,1.0,4.0,75.0,0.0
16,2016,49.1736,37.2093,,,,,,55.59,,,0.237,0.0,0.0,63.1579,9500.0,29.0,20.0,,0.0,14.0,62.5,10.0,9.0,90.0,1.0,9.0,75.0,0.0
17,2017,49.1736,37.2093,,,,,,56.54,,,0.204,0.0,0.0,63.1579,9000.0,29.0,21.0,,0.0,13.5,62.5,10.0,9.0,90.0,1.0,8.0,75.0,0.0
18,2018,46.6942,37.2093,,,,,,57.5,,,8.03,0.0,0.0,57.8947,8800.0,31.0,21.0,,0.0,19.1,57.1429,10.0,8.0,80.0,1.0,10.0,75.0,0.0
19,2019,44.2149,34.8837,,,,,,57.77,,,9.15,0.0,0.0,52.6316,8879.0,32.2,25.8,,0.0,26.354,57.1429,9.0,8.0,88.889,1.0,9.0,75.0,0.0
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
