,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,19.6226,11.0345,,68200.797,,,,,,,,,,7.8125,9069.0,,,,,,55.3571,13.0,10.0,76.923,1.0,13.0,75.0,
8,2008,18.8679,9.6552,,68104.203,,,,,,,,,,7.8125,9524.0,,,,,,55.3571,11.0,8.0,72.727,1.0,8.0,75.0,
9,2009,20.3774,12.4138,,62861.699,,,,,,,,,,7.8125,9780.0,,,,,,55.3571,13.0,11.0,84.615,1.0,8.0,75.0,
10,2010,23.7736,12.4138,,67068.703,,,,,,,,,,17.1875,9474.0,,,168.0,,,60.7143,12.0,10.0,83.333,1.0,9.0,75.0,
11,2011,23.3962,12.4138,,68053.703,,,,,,,,,,17.1875,9323.0,,,139.0,,,58.9286,11.0,10.0,90.909,1.0,7.0,75.0,
12,2012,28.6792,20.0,,55071.801,,,30.38,,,,,,,21.875,9097.0,,,117.0,,,58.9286,11.0,10.0,90.909,1.0,8.0,,
13,2013,30.1887,23.4483,,32602.6,,33048.5,,,,,,,,15.625,8527.0,,,,,,64.2857,11.0,10.0,90.909,1.0,8.0,75.0,
14,2014,37.3585,34.4828,,30304.699,,30766.4,18.091,,,,,,,20.3125,8527.0,,,,,7.0,64.2857,11.0,10.0,90.909,1.0,6.0,75.0,
15,2015,39.6226,34.4828,,28201.801,,28632.199,15.839,,,,,,,29.6875,8527.0,,,,,,64.2857,12.0,11.0,91.667,1.0,7.0,75.0,
16,2016,38.1132,35.1724,26623.199,,,26862.0,20.675,,,,,,,26.5625,8600.0,,,,,,58.9286,11.0,10.0,90.909,1.0,10.0,75.0,
17,2017,44.1509,41.3793,29848.4,,,30268.801,15.961,44392.898,,,,,,32.8125,8615.0,,,,0.0,,64.2857,11.0,10.0,90.909,1.0,6.0,75.0,0.025
18,2018,44.1509,41.3793,29202.9,,,29662.6,16.403,45911.301,,,,,,32.8125,8838.0,,,,0.0,,64.2857,14.0,13.0,92.857,1.0,8.0,99.0,0.025
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
