,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,35.4717,23.4483,,,,143891.0,245.0,,14508300.0,,,9.0,,46.875,20541.0,9.5,18.9,,1.0,15.28,53.5714,13.0,11.0,84.615,1.0,8.0,82.0,
7,2007,43.0189,30.3448,,,,148000.0,241.0,,,0.667,,2.0,,53.125,21005.0,18.9,10.2,,0.0,15.6,64.2857,14.0,12.0,85.714,1.0,8.0,88.0,0.3
8,2008,44.9057,33.7931,,,,148000.0,226.0,,,0.259,,1.0,,57.8125,22746.0,18.1,9.9,,0.0,23.6,58.9286,12.0,10.0,83.333,1.0,9.0,89.0,
9,2009,47.1698,35.8621,,,,130000.0,110.0,,,0.05,,5.0,,54.6875,21673.0,18.5,10.5,,1.0,23.418,67.8571,13.0,11.0,84.615,1.0,5.0,75.0,0.229
10,2010,51.3208,38.6207,,,,134000.0,113.0,,,0.696,,3.0,0.01,59.375,18650.0,18.3,11.5,,0.0,23.63,75.0,15.0,14.0,93.333,1.0,11.0,87.0,1.224
11,2011,58.1132,44.8276,,,,136000.0,118.0,,,1.197,2960.91,1.0,0.049,73.4375,18710.0,18.2,11.6,795.0,1.0,37.422,75.0,13.0,11.0,84.615,1.0,8.0,82.0,0.511
12,2012,44.1509,30.3448,,,,,106.0,,,0.784,,,,51.5625,18513.0,17.8,11.2,,0.0,,71.4286,15.0,13.0,86.667,1.0,9.0,87.0,0.315
13,2013,49.434,42.7586,119822.0,,,120914.0,89.811,373309.0,,,,,,46.875,18521.0,17.76,17.0,,0.0,,69.6429,15.0,13.0,86.667,1.0,8.0,75.0,0.233
14,2014,51.3208,48.9655,129349.0,,,130421.0,97.976,422634.0,,,,,,40.625,18529.0,,,,0.0,,69.6429,12.0,11.0,91.667,1.0,8.0,90.0,0.632
15,2015,50.9434,46.2069,107671.0,,,116096.0,,382950.0,,,,,,45.3125,17405.0,17.941,,,0.0,,69.6429,12.0,11.0,91.667,1.0,7.0,92.0,0.087
16,2016,53.9623,46.2069,97998.398,,,110385.0,,365878.0,,,,,,54.6875,17701.0,18.202,14.7,,2.0,,73.2143,12.0,11.0,91.667,1.0,8.0,83.0,0.278
17,2017,51.6981,47.5862,78001.398,,,91718.0,,237034.0,,,,,,42.1875,17717.0,18.62,,,,,73.2143,12.0,11.0,91.667,1.0,7.0,91.0,0.229
18,2018,57.3585,55.1724,74661.602,,,91100.703,45.282,272132.0,,,4846.45,,,51.5625,17582.0,19.0,16.67,,,,69.6429,12.0,11.0,91.667,1.0,7.0,97.0,0.42
19,2019,,,,,,,,,,,,,,,17408.0,,,,,,,,,,,,,0.643
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
