,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,15.2893,3.1008,84000.0,,,,,,,,,,,3.5088,28000.0,,,,,,55.3571,10.0,9.0,90.0,1.0,18.0,80.0,
8,2008,15.2893,3.1008,83800.003,,,,,,,,,,,3.5088,25000.0,,,,,,55.3571,9.0,8.0,88.89,1.0,18.0,80.0,
9,2009,15.2893,3.1008,74199.997,,,,,,,,,,,3.5088,27000.0,,,,,,55.3571,10.0,9.0,90.0,1.0,12.0,85.0,
10,2010,16.5289,3.1008,77199.997,,,,,,,,,,,3.5088,29000.0,,,,,,60.7143,10.0,9.0,90.0,1.0,11.0,91.0,0.05
11,2011,27.686,19.3798,,,,81279.0,86.569,,,,8159.07,,,14.0351,27000.0,,,,3.0,,60.7143,12.0,10.0,83.333,1.0,17.0,88.0,0.089
12,2012,33.8843,25.5814,,,,80941.0,86.366,,,,6918.97,,,31.5789,24870.0,22.4,,,1.0,,55.3571,11.0,9.0,81.818,1.0,10.0,,0.05
13,2013,37.1901,27.1318,,,,75539.0,77.133,,,,7278.37,,,31.5789,22000.0,20.79,,,1.0,,66.0714,12.0,10.0,83.333,1.0,13.0,75.0,0.05
14,2014,51.2397,48.8372,74630.703,,,75550.398,80.298,247819.0,,,7507.37,,,36.8421,18389.0,21.37,,,0.0,,71.4286,12.0,10.0,83.333,1.0,9.0,75.0,0.05
15,2015,50.0,46.5116,68383.602,,,69001.898,69.404,211662.0,,,9550.94,,,36.8421,19963.0,17.82,,,1.0,,71.4286,10.0,9.0,90.0,1.0,7.0,75.0,0.05
16,2016,45.0413,38.7597,69981.0,,,70579.0,68.561,,,,9024.42,,,33.3333,18865.0,18.43,,,3.0,,71.4286,10.0,9.0,90.0,1.0,5.0,75.0,0.05
17,2017,48.7603,43.4109,63053.0,,,63723.0,57.094,,,12.635,8879.82,,,38.5965,10534.0,21.15,,,0.0,,71.4286,10.0,9.0,90.0,1.0,8.0,75.0,0.05
18,2018,47.5207,41.0853,51481.0,,,52245.801,46.628,,,3.179,7931.71,,,38.5965,8793.0,21.48,,,0.0,,71.4286,10.0,9.0,90.0,1.0,6.0,75.0,0.0
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
