,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,22.807,13.392900000000001,,,,38.348,,,,,,,,13.3333,8300.0,70.0,,,,,51.7857,17.0,10.0,58.824,1.0,6.0,75.0,
8,2008,26.7544,13.392900000000001,,,,32.656,,,,,,,,28.3333,7949.0,66.0,23.0,,,,51.7857,17.0,9.0,52.941,1.0,7.0,75.0,
9,2009,22.807,8.0357,,,,,,,,,,,,23.3333,8057.0,70.0,30.0,,,,51.7857,16.0,10.0,62.5,1.0,8.0,75.0,
10,2010,25.0,8.0357,,,,,,,,,,,,28.3333,7919.0,67.0,21.0,,,,55.3571,15.0,10.0,66.667,1.0,5.0,75.0,
11,2011,23.6842,8.0357,,,,,,,,,,,,23.3333,8284.0,67.0,24.0,,,,55.3571,15.0,11.0,73.333,1.0,5.0,,
12,2012,28.947400000000002,13.392900000000001,,,,,,,,,,,,28.3333,8965.0,68.0,25.0,,,,60.7143,14.0,10.0,71.429,1.0,5.0,100.0,
13,2013,28.947400000000002,13.392900000000001,,,,,,,,,,,,28.3333,9141.0,68.0,,,,,60.7143,14.0,10.0,71.429,1.0,4.0,100.0,
14,2014,28.947400000000002,13.392900000000001,,,,,,,,,,,,28.3333,9525.0,67.0,,,,,60.7143,12.0,9.0,75.0,1.0,5.0,100.0,
15,2015,28.947400000000002,13.392900000000001,,,,,,,,,,,,28.3333,9915.0,67.0,,,,,60.7143,13.0,9.0,69.231,1.0,4.0,75.0,
16,2016,27.6316,13.392900000000001,,,,,,,,,,,,23.3333,10212.0,66.5,,,,,60.7143,13.0,9.0,69.231,1.0,4.0,75.0,
17,2017,31.5789,16.0714,,,,,,,,,,,,23.3333,11318.0,66.5,35.0,,,,71.4286,14.0,11.0,78.571,1.0,8.0,75.0,0.105
18,2018,32.4561,16.0714,,,,,,,,,,,,36.6667,11390.0,66.3,33.3,,,,60.7143,11.0,10.0,90.909,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,11729.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
