,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,5640.0,,,,,,51.7857,10.0,8.0,80.0,3.0,18.0,75.0,
8,2008,16.5289,6.9767,,,,388.6,,,,,,,,3.5088,5070.0,,,,,,51.7857,9.0,8.0,88.889,3.0,7.0,75.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,5830.0,,,,,,51.7857,11.0,9.0,81.818,3.0,9.0,75.0,
10,2010,20.2479,13.9535,,,,,,262.23,884.818,0.532,5.553,0.0,0.0,3.5088,6030.0,,,,,,51.7857,11.0,9.0,81.818,3.0,8.0,75.0,
11,2011,25.2066,20.9302,,,,97.053,,269.346,961.027,0.336,5.773,0.0,0.0,8.7719,6686.0,52.0,,,,,51.7857,11.0,9.0,81.818,3.0,7.0,75.0,
12,2012,29.7521,24.8062,,,,101.177,,274.438,988.319,0.361,5.322,0.0,0.0,19.2982,17700.0,52.0,,,,,51.7857,10.0,9.0,90.0,3.0,9.0,75.0,
13,2013,30.9917,27.1318,,,,104.877,,283.28,986.08,0.317,5.568,0.0,0.0,19.2982,19200.0,53.0,,,,,51.7857,13.0,11.0,84.615,1.0,8.0,75.0,
14,2014,32.2314,29.4574,,,,156.814,,360.787,1073.67,0.687,6.479,0.0,0.0,19.2982,21600.0,53.0,,,,,51.7857,14.0,12.0,85.714,1.0,17.0,75.0,
15,2015,47.5207,47.2868,,,,176.569,,401.759,1012.01,0.67,6.401,0.0,0.0,33.3333,31200.0,52.0,,,,,62.5,12.0,10.0,83.333,1.0,15.0,75.0,
16,2016,47.5207,44.9612,,,,163.131,,428.713,1080.59,0.467,5.503,,,33.3333,16500.0,52.0,,,,,67.8571,12.0,10.0,83.333,1.0,9.0,75.0,5.069
17,2017,48.7603,44.9612,,,,164.314,,435.731,1093.89,0.48,5.071,,,38.5965,17800.0,52.0,,,,10.0,67.8571,13.0,11.0,84.615,1.0,5.0,75.0,0.073
18,2018,48.7603,42.6357,,,,153.428,,803.366,1080.37,0.664,6.85,,,43.8596,17000.0,52.0,,,,10.0,67.8571,11.0,10.0,90.909,1.0,6.0,75.0,0.686
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
