,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,18.4211,2.6786,,,,,,,,,,,,8.3333,106000.0,,,,,,60.7143,15.0,13.0,86.667,1.0,8.0,75.0,
7,2007,,,,,,,,,,,,,,,116000.0,,,,,,,15.0,14.0,93.333,1.0,9.0,75.0,
8,2008,,,,,,,,,,,,,,,116000.0,,,,,,,11.0,10.0,90.909,1.0,19.0,75.0,
9,2009,14.473700000000001,,,,,,,,,,,,,3.3333,96000.0,,,,,,55.3571,11.0,10.0,90.91,1.0,27.0,75.0,
10,2010,13.5965,,,,,,,,,,,,,3.3333,63000.0,,,,,,51.7857,12.0,11.0,91.67,1.0,25.0,75.0,
11,2011,15.3509,,,,,,,,,,,,,3.3333,57000.0,,,,,,58.9286,14.0,13.0,92.857,1.0,15.0,75.0,
12,2012,16.2281,,,,,,,,,,,,,6.6667,63000.0,,,,,,58.9286,12.0,11.0,91.667,1.0,20.0,75.0,
13,2013,26.3158,12.5,,,,,,,,,,,,21.6667,64000.0,,,,,,58.9286,14.0,13.0,92.857,1.0,13.0,75.0,
14,2014,27.6316,15.1786,,,,,,,,,,,,21.6667,65000.0,,,,,,58.9286,14.0,13.0,92.857,1.0,16.0,75.0,
15,2015,26.7544,15.1786,,,,,,,,,,,,21.6667,66400.0,,,,,,55.3571,14.0,13.0,92.857,1.0,14.0,75.0,
16,2016,23.2456,12.5,,,,,,,,,,,,13.3333,56400.0,,,,,,55.3571,16.0,15.0,93.75,1.0,12.0,75.0,
17,2017,20.614,7.1429,,,,,,,,,,,,13.3333,49800.0,,,,,,55.3571,13.0,12.0,92.308,1.0,14.0,75.0,
18,2018,19.2982,4.4643,,,,,,,,,,,,13.3333,49600.0,,,,,,55.3571,11.0,10.0,90.909,1.0,13.0,75.0,
19,2019,,,,,,,,,,,,,,,46000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
