,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.0496,,,,,,,,,,,,,8.7719,5900.0,,,,,,51.7857,8.0,7.0,87.5,1.0,5.0,75.0,
8,2008,14.0496,,,,,,,,,,,,,8.7719,4500.0,,,,,,51.7857,8.0,7.0,87.5,1.0,5.0,75.0,
9,2009,14.0496,,,,,,,,,,,,,8.7719,3500.0,,,,,,51.7857,7.0,6.0,85.714,1.0,4.0,75.0,
10,2010,14.0496,,,,,,,,,,,,,8.7719,3100.0,,,,,,51.7857,8.0,7.0,87.5,1.0,4.0,75.0,
11,2011,15.2893,,,,,,,,,,,,,14.0351,2640.0,,,,,,51.7857,7.0,6.0,85.714,1.0,5.0,75.0,
12,2012,16.5289,2.3256,,,,,,,,,,,,14.0351,2150.0,,,,,,51.7857,7.0,6.0,85.714,1.0,4.0,75.0,
13,2013,18.595,4.6512,,,,,,,,,,,,17.5439,1932.0,,,,,,51.7857,7.0,6.0,85.714,1.0,4.0,75.0,
14,2014,18.595,4.6512,,,,,,,,,,,,17.5439,1693.0,,,,,,51.7857,7.0,6.0,85.714,1.0,4.0,75.0,
15,2015,18.595,4.6512,,,,,,,,,,,,17.5439,1591.0,,,,,,51.7857,7.0,6.0,85.714,1.0,5.0,75.0,
16,2016,18.595,4.6512,,,,,,,,,,,,17.5439,1456.0,,,,,,51.7857,7.0,6.0,85.714,1.0,5.0,75.0,
17,2017,21.0744,5.4264,,,,,,,,,,,,26.3158,1350.0,,,,,0.53,51.7857,7.0,6.0,85.714,1.0,5.0,75.0,
18,2018,23.5537,7.7519,,,,,,,,,,,,31.5789,1050.0,,,,,0.584,51.7857,8.0,7.0,87.5,1.0,5.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
