,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.2807,,,,,,,,,,,,,3.3333,14000.0,,,,,,46.4286,11.0,8.0,72.73,3.0,31.0,,
8,2008,12.2807,,,,,,,,,,,,,3.3333,15000.0,,,,,,46.4286,10.0,8.0,80.0,3.0,34.0,,
9,2009,13.1579,1.7856999999999998,,,,,,,,,,,,3.3333,15000.0,,,,,,46.4286,12.0,10.0,83.333,3.0,11.0,,
10,2010,13.1579,1.7856999999999998,,,,,,,,,,,,3.3333,14000.0,,,,,,46.4286,12.0,10.0,83.333,1.0,8.0,,
11,2011,13.1579,1.7856999999999998,,,,,,,,,,,,3.3333,14100.0,,,,,,46.4286,12.0,11.0,91.667,1.0,7.0,,
12,2012,19.7368,7.1429,,,,,,,,,,,,13.3333,14600.0,,,,,2.1,51.7857,12.0,11.0,91.667,1.0,7.0,94.0,
13,2013,20.614,7.1429,,,,,,,,,,,,16.6667,16600.0,,,,,,51.7857,11.0,10.0,90.909,1.0,9.0,93.0,
14,2014,19.2982,4.4643,,,,,,,,,,,,16.6667,17600.0,,,,,,51.7857,11.0,10.0,90.909,1.0,7.0,98.0,
15,2015,21.9298,9.8214,,,,,,,,,,,,16.6667,16700.0,,,,,,51.7857,10.0,9.0,90.0,1.0,10.0,95.0,
16,2016,21.9298,9.8214,,,,,,,,,,,,16.6667,14700.0,,,,,,51.7857,10.0,9.0,90.0,1.0,7.0,98.0,
17,2017,36.8421,33.0357,,,,28.473,,52.843,,,,,,16.6667,14750.0,,,,,,66.0714,12.0,11.0,91.667,1.0,7.0,95.0,
18,2018,26.7544,19.6429,,,,,,,,,,,,16.6667,14750.0,,,,,,51.7857,14.0,13.0,92.857,1.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,14200.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
