,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.0496,,,,,,,,,,,,,8.7719,1300.0,,,,,,51.7857,11.0,8.0,72.727,3.0,12.0,75.0,
8,2008,15.2893,2.3256,,,,,,,,,,,,8.7719,1500.0,,,,,,51.7857,12.0,9.0,75.0,3.0,13.0,75.0,
9,2009,33.8843,34.8837,,,,60.11,,122.594,,,,0.0,0.0,8.7719,1750.0,,,,,,57.1429,12.0,9.0,75.0,3.0,6.0,75.0,
10,2010,38.843,44.186,0.34,74.84,0.468,74.84,,159.9,,,,0.0,0.0,8.7719,2200.0,,,,,,57.1429,11.0,7.0,63.636,3.0,8.0,75.0,
11,2011,50.4132,48.8372,0.38,92.58,0.466,92.58,,198.626,,,,0.0,0.0,47.3684,2586.0,22.0,19.0,,,,57.1429,11.0,8.0,72.727,3.0,8.0,75.0,
12,2012,41.7355,47.2868,,,,97.656,,216.036,,0.54,0.73,0.0,0.0,14.0351,3074.0,,,,,,57.1429,10.0,7.0,70.0,3.0,7.0,75.0,
13,2013,46.281,45.7364,,,,103.624,,226.081,,0.49,0.49,0.0,0.0,36.8421,3908.0,22.3,15.0,,,,57.1429,11.0,8.0,72.727,3.0,10.0,75.0,
14,2014,33.0579,31.0078,,,,87.09,,317.581,,,,,,14.0351,5105.0,,,,,,57.1429,12.0,9.0,75.0,3.0,6.0,75.0,
15,2015,33.0579,33.3333,,,,93.525,,220.726,,,,,,14.0351,6084.0,,,,,,51.7857,11.0,8.0,72.727,3.0,7.0,75.0,
16,2016,36.3636,37.2093,,,,108.385,,259.33,,,,,,19.2982,6490.0,,,,,,51.7857,12.0,9.0,75.0,3.0,6.0,75.0,
17,2017,34.2975,31.0078,,,,110.122,,417.372,,,,,,19.2982,7650.0,,,,,,57.1429,11.0,8.0,72.727,3.0,8.0,75.0,
18,2018,33.0579,28.6822,,,,674.833,,,,,,,,19.2982,7519.0,,,,,,57.1429,12.0,10.0,83.333,3.0,20.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
