,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,24.7934,13.9535,,,,1022.0,,,,,111.0,,,28.0702,4130.0,,,,0.0,,46.4286,11.0,8.0,72.73,,7.0,75.0,
8,2008,40.0826,40.3101,,,,1071.0,0.738,5194.44,,28.511,72.013,,0.028,28.0702,4130.0,,,,0.0,,51.7857,9.0,8.0,88.889,,5.0,75.0,
9,2009,40.9091,37.2093,,,,959.0,0.701,4555.56,,24.486,51.977,,,33.3333,3950.0,,,,0.0,,57.1429,10.0,9.0,90.0,,5.0,75.0,
10,2010,45.0413,42.6357,,,,827.916,0.805,2138.889,,47.344,80.259,,0.061,33.3333,4020.0,,,,0.0,,62.5,10.0,9.0,90.0,1.0,8.0,75.0,
11,2011,45.0413,44.9612,,,,1085.0,0.688,5111.111,,24.887,100.064,0.0,0.0,33.3333,4260.0,,,,0.0,,57.1429,11.0,7.0,63.64,1.0,7.0,75.0,
12,2012,49.1736,50.3876,,,,1128.0,0.7,5583.33,,42.366,172.822,0.0,0.0,38.5965,4576.0,,,,0.0,,57.1429,10.0,9.0,90.0,1.0,6.0,74.9,
13,2013,50.4132,50.3876,,,,1140.0,0.742,5777.78,,18.742,145.491,0.0,0.0,38.5965,4471.0,,,,0.0,,62.5,10.0,9.0,90.0,1.0,7.0,75.0,
14,2014,50.4132,52.7132,,,,909.0,0.581,4694.44,,37.566,169.649,0.0,0.0,33.3333,4146.0,,,,0.0,,62.5,10.0,9.0,90.0,1.0,8.0,75.0,
15,2015,31.405,19.3798,,,,933.0,,4565.82,,,,,,33.3333,5950.0,,,,0.0,,57.1429,11.0,10.0,90.909,1.0,5.0,75.0,
16,2016,40.4959,36.4341,,,,1140.0,0.812,8099.7,,11.498,18.94,1.0,0.004,33.3333,4580.0,,,,0.0,,57.1429,11.0,10.0,90.909,1.0,7.0,75.0,0.032
17,2017,39.6694,31.7829,,,,1050.0,0.464,,,15.233,88.895,3.0,0.038,33.3333,5167.0,,,,0.0,,64.2857,11.0,10.0,90.909,1.0,6.0,75.0,0.025
18,2018,43.3884,31.7829,,,,960.0,0.639,,,20.0,110.0,1.0,0.0,49.1228,5570.0,20.0,17.0,,0.0,,64.2857,11.0,10.0,90.909,1.0,7.0,75.0,0.002
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
