,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,11.9835,,,,,,,,,,,,,3.5088,1307.0,,,,,,48.2143,8.0,7.0,87.5,1.0,6.0,75.0,
8,2008,11.9835,,,,,,,,,,,,,3.5088,1394.0,,,,,,48.2143,7.0,6.0,85.714,1.0,8.0,75.0,
9,2009,11.9835,,,,,,,,,,,,,3.5088,1895.0,,,,,,48.2143,8.0,7.0,87.5,1.0,13.0,74.37,
10,2010,11.9835,,,,,,,,,,,,,3.5088,2097.0,,,,,,48.2143,8.0,7.0,87.5,1.0,13.0,75.0,
11,2011,11.9835,,,,,,,,,,,,,3.5088,2593.0,,,,,,48.2143,8.0,7.0,87.5,1.0,9.0,75.0,
12,2012,11.9835,,,,,,,,,,,,,3.5088,3176.0,,,,,,48.2143,8.0,7.0,87.5,1.0,10.0,75.0,
13,2013,11.9835,,,,,,,,,,,,,3.5088,3420.0,,,,,,48.2143,9.0,8.0,88.889,1.0,8.0,75.0,
14,2014,10.7438,,,,,,,,,,,,,3.5088,3580.0,,,,,,42.8571,8.0,7.0,87.5,1.0,,75.0,
15,2015,10.7438,,,,,,,,,,,,,3.5088,4375.0,,,,,,42.8571,9.0,7.0,77.778,1.0,,75.0,
16,2016,15.2893,,,,,,,,,,,,,14.0351,6060.0,,,,,,51.7857,8.0,6.0,75.0,1.0,6.0,75.0,
17,2017,16.5289,,,,,,,,,,,,,19.2982,8715.0,,,,,,51.7857,9.0,7.0,77.778,1.0,6.0,75.0,
18,2018,16.5289,,,,,,,,,,,,,19.2982,11660.0,,,,,,51.7857,10.0,8.0,80.0,1.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
