,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.4628,2.3256,,,,4110.0,,,,,,,,8.7719,14710.0,,,,,,48.2143,10.0,9.0,90.0,1.0,6.0,97.0,
8,2008,15.2893,2.3256,,,,3980.0,,,,,,,,8.7719,14143.0,,,,,,51.7857,9.0,8.0,88.889,1.0,7.0,97.0,
9,2009,15.2893,2.3256,,,,3630.0,,,,,,,,8.7719,12440.0,,,,,,51.7857,9.0,8.0,88.889,1.0,6.0,93.0,
10,2010,15.2893,2.3256,,,,3750.0,,,,,,,,8.7719,12039.0,,,,,,51.7857,10.0,8.0,80.0,1.0,6.0,92.0,
11,2011,22.314,11.6279,,,,3890.0,,,,,,,,17.5439,12806.0,,,,,,51.7857,10.0,8.0,80.0,1.0,5.0,94.0,
12,2012,33.0579,31.0078,,,,4087.5,,15332.3,,,4.6370000000000005,,,19.2982,12932.0,,,,,,51.7857,11.0,9.0,81.818,1.0,4.0,92.0,
13,2013,34.7107,31.7829,,,,4336.8,1.772,16269.4,,,4.3870000000000005,,,19.2982,13177.0,,,,,,57.1429,11.0,10.0,90.909,1.0,6.0,100.0,
14,2014,34.7107,29.4574,,,,4502.6,1.85,16891.801,,,9.472,,,35.0877,13952.0,54.0,11.0,,,,46.4286,11.0,10.0,90.909,1.0,6.0,,
15,2015,35.9504,29.4574,,,,4840.47,1.991,19359.801,,,5.915,,,35.0877,15143.0,54.0,,,,11.682,51.7857,11.0,10.0,90.909,1.0,10.0,75.0,
16,2016,39.2562,33.3333,,,,5099.63,2.336,20392.9,,0.08,5.162,,,35.0877,15859.0,54.0,,,,13.512,57.1429,11.0,10.0,90.909,1.0,10.0,75.0,
17,2017,40.0826,35.6589,,,,7503.48,3.166,30007.1,,0.162,4.701,,,35.0877,21250.0,50.0,,,,14.477,55.3571,10.0,9.0,90.0,1.0,7.0,75.0,
18,2018,39.6694,35.6589,,,,7762.0,,31187.699,16226.8,0.096,,0.0,0.0,33.3333,21571.0,50.0,,,,16.85,55.3571,11.0,10.0,90.909,1.0,5.0,75.0,
19,2019,,,,,,,,,,,,,,,24134.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
