,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,17.5439,,,,,,,,,,,,,18.3333,41171.0,58.9,45.0,,,9.5,51.7857,12.0,11.0,91.667,1.0,7.0,75.0,
6,2006,27.6316,10.7143,,,,,,,,,,,,36.6667,35579.0,59.2,45.4,,,5.8,51.7857,13.0,11.0,84.615,1.0,12.0,94.0,
7,2007,31.1404,19.6429,,,,228.305,,,,,,,,33.3333,38000.0,59.1,49.7,,,20.1,51.7857,12.0,11.0,91.667,1.0,7.0,75.0,
8,2008,34.2105,19.6429,,,,219.678,,,,,,,,33.3333,38000.0,58.8,41.2,,,,64.2857,10.0,9.0,90.0,1.0,13.0,95.0,
9,2009,45.1754,41.0714,,,,214.587,,,259.615,,0.001,,,38.3333,36000.0,58.2,41.0,,,,60.7143,10.0,9.0,90.0,1.0,10.0,95.0,
10,2010,42.5439,41.0714,,,,215.899,,,267.575,,3.482,,,28.3333,35000.0,58.0,40.3,,,,60.7143,11.0,10.0,90.909,1.0,7.0,97.0,
11,2011,46.0526,41.0714,,,,193.391,,,241.382,,4.46,,,36.6667,37000.0,58.6,48.4,,,,66.0714,11.0,10.0,90.909,1.0,8.0,75.0,14.1
12,2012,46.0526,38.3929,,,,191.197,,,277.984,,,,,41.6667,38000.0,57.4,41.0,456.0,,,66.0714,12.0,11.0,91.667,1.0,8.0,98.0,15.6
13,2013,49.5614,41.0714,,,,190.053,,466.682,,,,,,45.0,39400.0,56.9,41.8,,,0.87,71.4286,11.0,10.0,90.909,1.0,8.0,98.0,14.0
14,2014,49.5614,41.0714,,,,169.709,,515.662,,,,,,45.0,40200.0,56.0,42.3,,,0.93,71.4286,12.0,11.0,91.667,1.0,6.0,97.0,15.0
15,2015,49.5614,35.7143,,,,167.7,,462.499,,,,,,55.0,41600.0,56.2,47.8,,,0.972,71.4286,11.0,10.0,90.909,1.0,9.0,99.0,14.5
16,2016,49.5614,35.7143,,,,160.871,,454.82,,,,,,55.0,43950.0,55.9,43.7,,,10.5,71.4286,11.0,10.0,90.909,1.0,7.0,99.0,16.0
17,2017,50.8772,41.0714,53.535,,,145.012,,434.255,,,,,,55.0,42900.0,56.3,,,,7.9,66.0714,11.0,9.0,81.818,1.0,7.0,99.0,0.323
18,2018,48.2456,41.0714,45.576,,,128.853,,389.138,,,,,,45.0,45700.0,,49.6,,,7.8,66.0714,10.0,9.0,90.0,1.0,7.0,99.0,0.74
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
