,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,23.5537,20.155,,,,204.0,,462.354,,2.19,4.52,0.0,0.0,3.5088,14072.0,,,,,,51.7857,10.0,8.0,80.0,1.0,10.0,75.0,
7,2007,28.0992,26.3566,,,,202.0,,468.656,1582.15,1.95,3.51,1.0,0.001,8.7719,14550.0,,,,,8.5,51.7857,12.0,9.0,75.0,1.0,7.0,75.0,
8,2008,40.4959,38.7597,,,,198.95,,439.903,1664.31,1.5,6.125,2.0,0.013,22.807,14824.0,,,,,12.0,62.5,13.0,11.0,84.615,1.0,5.0,75.0,0.291
9,2009,40.0826,35.6589,,,,182.552,,366.816,1381.02,1.09,6.905,,,22.807,12619.0,,,,,10.7,67.8571,11.0,10.0,90.909,1.0,5.0,75.0,0.243
10,2010,,,,,,178.406,,411.241,1376.2,0.612,7.483,,,,13045.0,,,,,11.6,,11.0,10.0,90.909,1.0,7.0,75.0,0.303
11,2011,42.1488,37.2093,,,,178.406,,418.021,1720.25,0.617,8.329,,,33.3333,13000.0,,,,,11.7,62.5,11.0,10.0,90.909,1.0,6.0,75.0,0.389
12,2012,44.6281,41.8605,,,,186.303,,419.527,1525.38,2.201,12.743,,,33.3333,14500.0,,,,,11.0,62.5,11.0,10.0,90.909,1.0,6.0,90.0,0.364
13,2013,38.843,35.6589,,,,193.275,,421.2,538.894,0.61,11.748,,,22.807,13700.0,,,,0.0,,62.5,12.0,10.0,83.333,1.0,9.0,75.0,0.068
14,2014,41.3223,40.3101,,,,163.703,,512.2,1605.01,0.458,12.054,0.0,0.0,22.807,14950.0,,,,0.0,,62.5,12.0,10.0,83.333,1.0,6.0,75.0,0.075
15,2015,42.1488,41.8605,,,,170.613,,507.34,1480.41,0.223,11.265,0.0,0.0,22.807,15500.0,,,,0.0,,62.5,9.0,8.0,88.889,1.0,8.0,75.0,0.0
16,2016,40.4959,37.2093,,,,170.634,,515.34,1495.47,0.319,11.301,,,22.807,16700.0,,,,0.0,,66.0714,11.0,10.0,90.909,1.0,6.0,75.0,0.03
17,2017,41.7355,37.9845,,,,173.491,,540.06,1682.06,0.316,18.176,,,22.807,18400.0,,,,0.0,,69.6429,9.0,8.0,88.889,1.0,5.0,75.0,0.005
18,2018,42.9752,37.9845,,,,173.063,,442.0,1781.11,0.42,13.334,,,28.0702,21000.0,17.0,,,0.0,,69.6429,10.0,9.0,90.0,1.0,6.0,75.0,0.01
19,2019,,,,,,,,,,,,,,,22000.0,,,,,,,11.0,10.0,90.909,1.0,5.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
