,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,26.8595,21.7054,,,,2100.0,,,4053.0,,144.0,,,22.807,24000.0,,,,,,42.8571,7.0,5.0,71.43,,11.0,97.53,
7,2007,30.9917,27.1318,,,,2100.0,,,3125.0,,137.0,,,28.0702,22000.0,,,,,0.212,42.8571,7.0,5.0,71.43,,14.0,96.94,
8,2008,36.7769,26.3566,,,,2100.0,,,2812.0,,108.0,,,38.5965,21030.0,,15.0,,,0.538,58.9286,7.0,6.0,85.714,3.0,9.0,100.0,
9,2009,50.4132,49.6124,,,,,,4992.111,2462.0,21.989,402.0,0.0,0.0,43.8596,21052.0,23.0,26.0,,0.0,0.374,58.9286,7.0,6.0,85.714,3.0,13.0,98.9,
10,2010,47.1074,45.7364,,,,,,5074.444,3748.0,20.531,419.0,1.0,0.006,38.5965,33606.0,,23.0,,0.0,0.305,58.9286,8.0,7.0,87.5,3.0,10.0,100.0,
11,2011,53.719,58.1395,,,,2838.065,,7192.056,15763.0,25.667,641.667,0.0,0.0,38.5965,33868.0,,26.0,,0.0,0.401,58.9286,8.0,7.0,87.5,3.0,9.0,100.0,
12,2012,50.4132,49.6124,,,,2627.123,,,15544.0,20.55,411.0,0.0,0.0,43.8596,32986.0,21.0,24.0,,0.0,0.417,58.9286,9.0,8.0,88.89,3.0,10.0,97.59,
13,2013,56.1983,58.1395,,,,2403.12,,6218.73,9370.0,21.202,551.85,4.0,0.017,49.1228,33353.0,20.0,12.5,,,0.17,58.9286,8.0,7.0,87.5,3.0,9.0,100.0,
14,2014,48.3471,43.4109,,,,1502.28,,,4282.12,,321.065,0.0,0.0,49.1228,27679.0,20.0,25.0,,0.0,0.179,58.9286,8.0,7.0,87.5,3.0,9.0,95.65,
15,2015,48.3471,45.7364,,,,1540.76,,,4599.88,19.468,283.188,0.0,0.0,43.8596,27902.0,21.0,25.0,,0.0,0.481,58.9286,8.0,7.0,87.5,3.0,10.0,98.75,
16,2016,52.4793,51.1628,,,,1672.57,,13975.7,4866.47,17.978,287.334,0.0,0.0,54.386,29625.0,19.0,29.0,147.0,0.0,1.138,53.5714,8.0,7.0,87.5,,10.0,100.0,
17,2017,50.8264,48.062,,,,1629.65,,4066.68,5054.03,28.643,358.04,,,49.1228,52042.0,20.0,28.0,195.0,0.0,1.1,58.9286,9.0,8.0,88.889,3.0,10.0,100.0,
18,2018,48.3471,44.186,,,,1587.05,,4015.05,4694.57,23.776,297.198,,,43.8596,31117.0,20.0,29.0,207.0,0.0,,62.5,8.0,7.0,87.5,3.0,12.0,96.96,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
