,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,38.843,37.2093,10.12,309.62,0.608,352.075,,509.095,3400.0,4.65,10.599,0.0,0.0,29.8246,16500.0,32.0,12.0,,,4.315,51.7857,9.0,7.0,77.778,1.0,10.0,75.0,
7,2007,35.5372,31.0078,,,,468.216,,692.466,3800.0,4.545,11.042,2.0,0.0,24.5614,16420.0,31.0,12.0,,,4.58,57.1429,9.0,7.0,77.778,1.0,9.0,75.0,
8,2008,48.7603,47.2868,,,,439.514,,699.02,3500.0,3.418,9.196,0.0,0.0,43.8596,14651.0,31.0,11.0,,,3.331,57.1429,9.0,7.0,77.778,1.0,10.0,75.0,
9,2009,51.6529,51.1628,,,,200.528,,409.0,776.0,0.048,2.001,0.0,0.0,47.3684,10352.0,31.0,12.0,,,1.564,57.1429,10.0,8.0,80.0,1.0,8.0,75.0,
10,2010,50.8264,48.8372,,,,167.012,,368.0,877.0,0.049,2.1189999999999998,2.0,0.0,43.8596,11100.0,31.0,11.0,,,1.525,62.5,9.0,7.0,77.778,1.0,4.0,75.0,
11,2011,53.3058,48.8372,,,,191.637,,380.0,313.0,0.096,2.222,0.0,0.0,43.8596,11093.0,29.0,11.0,,,1.562,73.2143,10.0,8.0,80.0,1.0,7.0,75.0,0.004
12,2012,54.1322,50.3876,,,,199.98,,436.0,868.0,0.151,1.881,0.0,0.0,49.1228,10340.0,28.0,13.0,,,0.56,67.8571,10.0,7.0,70.0,1.0,11.0,75.0,0.004
13,2013,54.9587,51.938,,,,206.553,,387.0,337.0,0.147,3.717,3.0,0.003,49.1228,10671.0,28.0,15.0,,,0.352,67.8571,10.0,7.0,70.0,1.0,5.0,75.0,0.002
14,2014,55.3719,52.7132,,,,200.953,,289.0,195.0,0.282,1.9529999999999998,2.0,0.0,49.1228,9690.0,29.0,12.0,,,0.225,67.8571,12.0,8.0,66.667,1.0,8.0,75.0,0.002
15,2015,54.1322,52.7132,,,,203.451,,261.0,141.0,0.005,1.255,0.0,0.0,49.1228,9139.0,29.0,13.0,,,0.117,62.5,11.0,8.0,72.727,1.0,8.0,75.0,0.002
16,2016,52.0661,51.1628,,,,52.371,,125.0,160.0,0.005,0.578,0.0,0.0,49.1228,8219.0,24.0,12.0,,,0.159,57.1429,9.0,6.0,66.667,1.0,6.0,75.0,
17,2017,52.0661,49.6124,,,,45.896,,129.0,200.0,0.008,0.659,0.0,0.0,49.1228,8904.0,24.0,12.0,,,0.159,60.7143,10.0,8.0,80.0,1.0,6.0,75.0,
18,2018,53.3058,49.6124,,,,45.26,,121.0,192.0,0.003,0.642,0.0,0.0,54.386,10141.0,24.0,13.0,,,0.149,60.7143,9.0,7.0,77.778,1.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,11400.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
