,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,12.8099,,,,,,,,,,,,,8.7719,11700.0,,,,,,46.4286,8.0,7.0,87.5,,5.0,75.0,
9,2009,13.6364,1.5504,,,,,,,,,,,,8.7719,10100.0,,,,,,46.4286,8.0,7.0,87.5,,6.0,75.0,
10,2010,,,,,,,,,,,,,,,11600.0,,,,,,,9.0,8.0,88.889,3.0,7.0,75.0,
11,2011,,,,,,,,,,,,,,,12200.0,,,,,,,7.0,6.0,85.714,3.0,7.0,75.0,
12,2012,,,,,,,,,,,,,,,13700.0,,,,,,,7.0,6.0,85.714,3.0,9.0,75.0,
13,2013,15.7025,1.5504,,,,,,,,,,,,8.7719,14500.0,,,,,,55.3571,8.0,7.0,87.5,3.0,6.0,73.5,
14,2014,18.1818,1.5504,,,,,,,,,,,,19.2982,15400.0,,,,,,55.3571,9.0,8.0,88.889,3.0,7.0,75.0,
15,2015,18.1818,1.5504,,,,,,,,,,,,19.2982,15400.0,,,,,,55.3571,9.0,8.0,88.889,3.0,7.0,75.0,
16,2016,18.1818,1.5504,,,,,,,,,,,,19.2982,15700.0,,,,,,55.3571,9.0,8.0,88.889,3.0,10.0,75.0,
17,2017,16.1157,,,,,,,,,,,,,14.0351,16900.0,,,,,,55.3571,9.0,8.0,88.889,3.0,8.0,75.0,
18,2018,17.3554,,,,,,,,,,,,,19.2982,18200.0,,,,,,55.3571,8.0,7.0,87.5,3.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,18100.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
