,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,21.9008,14.7287,100.997,382.487,0.375,,,1018.72,2930.0,1.308,,,,8.7719,20000.0,,,,,,51.7857,11.0,9.0,81.818,3.0,6.0,75.0,
7,2007,30.5785,27.1318,,413.0,0.343,434.0,,1205.83,,1.343,41.561,,,14.0351,17400.0,,,,0.0,,55.3571,11.0,10.0,90.909,1.0,12.0,75.0,
8,2008,38.843,37.9845,,389.0,0.348,409.0,,1116.58,2738.0,1.065,63.631,0.0,,24.5614,16700.0,,,,0.0,,55.3571,12.0,11.0,91.667,1.0,6.0,75.0,
9,2009,42.562,44.9612,,410.0,0.368,429.0,,1112.78,2913.0,1.003,88.702,2.0,,24.5614,17200.0,,,,0.0,,55.3571,13.0,12.0,92.308,1.0,5.0,75.0,
10,2010,50.0,50.3876,,406.0,0.373,431.0,,1087.78,3028.0,1.154,23.645,3.0,,28.0702,17400.0,,,,0.0,,71.4286,14.0,13.0,92.857,1.0,9.0,75.0,1.144
11,2011,50.0,48.062,,380.0,0.35,404.0,,1084.17,3110.0,1.116,22.103,2.0,,28.0702,17800.0,,,,0.0,,76.7857,13.0,11.0,84.615,1.0,7.0,75.0,0.704
12,2012,47.5207,49.6124,,383.0,0.358,406.0,,1069.17,3255.0,1.18,25.92,2.0,,19.2982,17900.0,,,,0.0,,71.4286,12.0,11.0,91.667,1.0,9.0,75.0,0.532
13,2013,45.0413,44.9612,,,,389.231,,1060.28,3380.0,1.157,17.232,2.0,,19.2982,20000.0,,,,0.0,,71.4286,13.0,12.0,92.308,1.0,6.0,75.0,0.449
14,2014,45.0413,44.9612,,,,377.499,,1029.44,3012.0,1.113,12.651,6.0,,19.2982,17900.0,,,,0.0,,71.4286,13.0,12.0,92.308,1.0,7.0,75.0,0.509
15,2015,46.281,47.2868,,,,369.0,,1058.89,3280.0,1.455,10.054,1.0,,24.5614,17900.0,,,,0.0,,66.0714,14.0,13.0,92.857,1.0,6.0,75.0,
16,2016,48.3471,48.8372,,,,292.0,,981.944,2993.0,1.815,10.33,1.0,0.001,29.8246,19200.0,51.0,,,0.0,,66.0714,14.0,13.0,92.857,1.0,6.0,75.0,
17,2017,41.7355,31.7829,,,,277.2,,1030.28,,,9.857,,,35.0877,20800.0,51.0,,,0.0,,71.4286,14.0,13.0,92.857,1.0,7.0,75.0,3.669
18,2018,41.7355,31.7829,,,,263.1,,912.222,,,9.641,,,35.0877,21500.0,52.0,,,0.0,,71.4286,13.0,12.0,92.308,1.0,11.0,75.0,0.771
19,2019,,,,,,,,,,,,,,,23400.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
