,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2012,12.8099,,,,,,,,,,,,,3.5088,2432.0,,,,,,51.7857,9.0,8.0,88.889,1.0,11.0,75.0,
13,2013,16.1157,,,,,,,,,,,,,17.5439,2716.0,,,,,,51.7857,9.0,8.0,88.889,1.0,10.0,75.0,
14,2014,21.0744,9.3023,,,,,,,,,,,,17.5439,2974.0,,,,,,51.7857,10.0,9.0,90.0,1.0,8.0,75.0,
15,2015,21.0744,9.3023,,,,,,,,,,,,17.5439,3371.0,,,,,,51.7857,10.0,9.0,90.0,1.0,11.0,75.0,
16,2016,21.0744,9.3023,,,,,,,,,,,,17.5439,4507.0,,,,,,51.7857,10.0,9.0,90.0,1.0,10.0,75.0,
17,2017,34.2975,27.1318,,,,2464.56,,4913.78,,,,,,28.0702,4752.0,,,,0.0,,57.1429,10.0,9.0,90.0,1.0,8.0,75.0,
18,2018,35.5372,29.4574,,,,2397.93,,5061.36,43.419,,,,,28.0702,5026.0,,,,0.0,,57.1429,10.0,9.0,90.0,1.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,5454.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
