,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,12000.0,,,,,,,8.0,7.0,87.5,1.0,5.0,80.0,
6,2006,13.2231,,,,,,,,,,,,,8.7719,13900.0,,,,,,48.2143,8.0,7.0,87.5,1.0,7.0,75.0,
7,2007,13.2231,,,,,,,,,,,,,8.7719,17000.0,,,,,,48.2143,8.0,7.0,87.5,1.0,5.0,75.0,
8,2008,13.6364,0.7752,,,,,,,,,,,,8.7719,20700.0,,,,,,48.2143,9.0,8.0,88.889,1.0,9.0,75.0,
9,2009,13.6364,0.7752,,,,,,,,,,,,8.7719,24300.0,,,,,,48.2143,8.0,7.0,87.5,1.0,5.0,75.0,
10,2010,13.6364,0.7752,,,,,,,,,,,,8.7719,33700.0,,,,,,48.2143,8.0,7.0,87.5,1.0,7.0,75.0,
11,2011,14.876,3.1008,,,,,,,,,,,,8.7719,56200.0,,,,,,48.2143,9.0,8.0,88.889,1.0,4.0,75.0,
12,2012,13.6364,3.1008,,,,,,,,,,,,3.5088,88400.0,,,,,,48.2143,9.0,8.0,88.889,1.0,7.0,75.0,
13,2013,16.9421,3.1008,,,,,,,,,,,,14.0351,117300.0,,,,,,51.7857,9.0,8.0,88.889,1.0,4.0,75.0,
14,2014,16.9421,3.1008,,,,,,,,,,,,14.0351,154100.0,,,,,,51.7857,10.0,9.0,90.0,1.0,5.0,75.0,
15,2015,23.1405,10.0775,,,,,,,,,,,,24.5614,230800.0,39.0,24.0,,,,51.7857,10.0,9.0,90.0,1.0,4.0,75.0,
16,2016,23.9669,12.4031,,,,,,,,,,,,22.807,341400.0,39.0,,,,,51.7857,11.0,10.0,90.909,1.0,4.0,75.0,
17,2017,23.9669,12.4031,,,,,,,,,,,,22.807,566000.0,40.0,,,,,51.7857,10.0,9.0,90.0,1.0,6.0,75.0,
18,2018,31.405,21.7054,,,,9690.0,,,,,,,,28.0702,647500.0,41.7,,,,,57.1429,9.0,8.0,88.889,1.0,6.0,75.0,0.987
19,2019,,,,,,,,,,,,,,,798000.0,,,,,,,,,,,,,4.259
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
