,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,12.8099,,,,,,,,,,,,,3.5088,1750.0,,,,,,51.7857,9.0,6.0,66.667,3.0,13.0,85.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,1600.0,,,,,,51.7857,9.0,6.0,66.667,3.0,10.0,90.0,
10,2010,12.8099,,,,,,,,,,,,,3.5088,1660.0,,,,,,51.7857,9.0,7.0,77.778,3.0,5.0,80.0,
11,2011,12.8099,,,,,,,,,,,,,3.5088,2100.0,,,,,,51.7857,8.0,6.0,75.0,3.0,7.0,100.0,
12,2012,12.8099,,,,,,,,,,,,,3.5088,2400.0,,,,,,51.7857,9.0,7.0,77.778,3.0,7.0,85.0,
13,2013,12.8099,,,,,,,,,,,,,3.5088,2600.0,,,,,,51.7857,9.0,7.0,77.778,3.0,7.0,85.0,
14,2014,12.8099,,,,,,,,,,,,,3.5088,2700.0,,,,,,51.7857,9.0,7.0,77.778,3.0,7.0,95.22,
15,2015,12.8099,,,,,,,,,,,,,3.5088,2800.0,,,,,,51.7857,9.0,8.0,88.889,3.0,6.0,80.0,
16,2016,15.2893,,,,,,,,,,,,,14.0351,2800.0,,,,,,51.7857,9.0,7.0,77.778,3.0,6.0,98.11,
17,2017,16.5289,2.3256,,,,,,,,,,,,14.0351,2900.0,,,,,,51.7857,10.0,8.0,80.0,3.0,7.0,75.0,
18,2018,16.5289,2.3256,,,,,,,,,,,,14.0351,3400.0,,,,,,51.7857,10.0,8.0,80.0,3.0,7.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
