,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,14.9378,1.6529,,,,,,,,,,,,7.8125,3521.0,,,,,,51.7857,12.0,10.0,83.333,3.0,6.0,75.0,
8,2008,16.5975,7.438,,,,9939.35,,,,,,,,3.125,3639.0,,,,,,51.7857,11.0,9.0,81.818,3.0,5.0,75.0,
9,2009,27.3859,22.314,6869.0,,,11541.3,,29536.199,,,,,,15.625,3452.0,,,,,,51.7857,11.0,9.0,81.818,3.0,10.0,75.0,
10,2010,38.5892,28.9256,5710.0,,,10900.0,,30400.0,335723.663,,,,,40.625,4449.0,,,13.0,0.0,,57.1429,13.0,10.0,76.923,3.0,12.0,75.0,
11,2011,42.3237,33.8843,6500.0,,,13100.0,,25200.0,312387.0,,,,,45.3125,5299.0,,,38.0,0.0,,57.1429,13.0,12.0,92.308,3.0,7.0,75.0,
12,2012,41.0788,31.405,6132.0,,,12080.0,,10852.6,303038.0,,,,,45.3125,5976.0,,,39.0,0.0,,57.1429,12.0,11.0,91.667,3.0,6.0,75.0,
13,2013,35.6846,29.7521,4800.0,,,9900.0,,10738.0,287227.0,,,,,25.0,5337.0,,,,,,60.7143,9.0,8.0,88.889,3.0,10.0,75.0,
14,2014,37.7593,33.8843,4000.0,,,8500.0,,5400.0,281259.0,,,,,25.0,4950.0,,,,,,60.7143,11.0,10.0,90.909,3.0,15.0,75.0,
15,2015,38.1743,33.0579,4500.0,,,7770.0,,4970.0,286502.0,,,,,25.0,3860.0,,,,,,64.2857,11.0,10.0,90.909,1.0,16.0,100.0,
16,2016,37.7593,30.5785,4500.0,,,7860.0,,,257414.0,,,,,28.125,3727.0,,,,,,64.2857,11.0,10.0,90.909,1.0,7.0,75.0,
17,2017,39.0041,30.5785,4400.0,,,7050.0,,,222817.0,,,,,28.125,3356.0,,,,,,69.6429,12.0,11.0,91.667,1.0,10.0,75.0,0.0
18,2018,36.0996,27.2727,2860.0,,,23800.0,,,234231.0,,,,,28.125,3420.0,,,,,,64.2857,10.0,9.0,90.0,1.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
