,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,28.0992,15.5039,,,,18000.0,,,,,,,0.089,28.0702,20700.0,,,,,5.0,57.1429,11.0,10.0,90.909,3.0,8.0,94.0,0.0
7,2007,31.405,23.2558,,,,21970.0,1.814,,,,,,0.042,24.5614,22100.0,,,,,5.0,57.1429,12.0,10.0,83.333,3.0,9.0,99.0,0.17
8,2008,35.9504,27.1318,,,,22020.0,1.762,,,,,,0.039,35.0877,21100.0,,,,,6.0,57.1429,11.0,10.0,90.909,3.0,9.0,98.0,0.17
9,2009,44.6281,40.3101,,,,20970.0,1.6440000000000001,85438.703,,16.145,,,0.031,31.5789,18900.0,,,,,6.0,67.8571,11.0,10.0,90.909,3.0,9.0,98.0,0.125
10,2010,47.5207,40.3101,,,,23720.0,1.611,95400.0,,21.225,,,0.015,43.8596,18300.0,,,99.0,1.0,8.0,67.8571,11.0,10.0,90.909,3.0,15.0,98.0,0.1
11,2011,51.2397,42.6357,,,,24280.0,1.508,97900.0,,20.136,,,1.6400000000000001,54.386,18900.0,24.0,,88.0,1.0,7.8,67.8571,12.0,11.0,91.667,3.0,13.0,75.0,0.0
12,2012,53.3058,46.5116,,,,25330.199,1.2730000000000001,97783.203,216940.0,14.875,,,0.168,54.386,21300.0,24.0,,117.0,0.0,7.5,67.8571,11.0,10.0,90.909,3.0,12.0,75.0,0.094
13,2013,53.719,45.7364,,,,25826.301,1.46,103435.0,184885.0,11.882,,,0.049,54.386,21600.0,23.0,,107.0,0.0,6.9,71.4286,15.0,14.0,93.333,3.0,16.0,75.0,0.194
14,2014,55.7851,45.7364,,,,27450.0,1.47,114407.0,199756.0,2.358,,,0.151,54.386,21200.0,23.0,,140.0,1.0,7.9,80.3571,11.0,10.0,90.909,3.0,12.0,75.0,0.105
15,2015,58.2645,55.0388,,,,30224.0,1.63,113724.0,162766.0,2.676,2.676,,0.032,54.386,19700.0,23.0,,113.0,0.0,8.0,69.6429,11.0,10.0,90.909,3.0,9.0,75.0,
16,2016,56.1983,51.1628,,,,30221.4,1.501,111530.0,,2.313,2.313,,0.007,54.386,16000.0,23.0,,83.0,0.0,7.1,69.6429,8.0,7.0,87.5,3.0,17.0,75.0,
17,2017,59.5041,53.4884,,,,28700.0,1.565,54600.0,,1.95,1.95,14.0,0.02,63.1579,15300.0,23.0,19.0,59.0,0.0,6.0,69.6429,8.0,7.0,87.5,1.0,11.0,75.0,
18,2018,59.5041,53.4884,,,,27300.0,1.474,50800.0,,2.54,2.54,17.0,0.018,63.1579,16300.0,22.0,18.0,49.0,0.0,6.9,69.6429,8.0,7.0,87.5,1.0,9.0,75.0,
19,2019,,,,,,,,,,,,,,,17700.0,,,,,,,8.0,7.0,87.5,1.0,10.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
