,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2011,21.0744,9.3023,,,,,,,,,,,,14.0351,104000.0,,,,,,55.3571,12.0,10.0,83.333,1.0,16.0,95.0,
12,2012,20.6612,8.5271,,,,,,,,,,,,14.0351,118000.0,,,,,,55.3571,12.0,11.0,91.667,1.0,7.0,95.0,
13,2013,21.9008,10.8527,,,,,,,,,,,,14.0351,117000.0,,,,,,55.3571,11.0,10.0,90.909,1.0,6.0,95.0,
14,2014,24.3802,15.5039,,,,,,,,,,,,14.0351,127000.0,,,,,,55.3571,11.0,10.0,90.909,1.0,8.0,75.0,
15,2015,24.3802,15.5039,,,,,,,,,,,,14.0351,139000.0,,,,,,55.3571,13.0,12.0,92.308,1.0,12.0,75.0,
16,2016,29.3388,22.4806,,385.517,,,,,2189.54,,11.583,,,19.2982,166000.0,,,,,,55.3571,12.0,11.0,91.667,1.0,10.0,75.0,
17,2017,31.405,24.031,,324.055,,,,,1899.24,,9.624,,,24.5614,147000.0,,,,,,55.3571,11.0,10.0,90.909,1.0,10.0,75.0,
18,2018,36.3636,31.0078,,298.373,,388.561,,,1716.0,,9.295,,,29.8246,143000.0,47.0,,,,,55.3571,12.0,11.0,91.667,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,141000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
