,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,14.0496,2.3256,,,,,,,,,,,,3.5088,152.0,,,,,,51.7857,7.0,5.0,71.43,1.0,8.0,75.0,
9,2009,14.0496,2.3256,,,,,,,,,,,,3.5088,142.0,,,,,,51.7857,7.0,5.0,71.429,1.0,5.0,75.0,
10,2010,14.876,3.876,,,,,,,,,,,,3.5088,151.0,,,,,,51.7857,7.0,5.0,71.43,1.0,8.0,75.0,
11,2011,14.876,3.876,,,,,,,,,,,,3.5088,212.0,,,,,,51.7857,7.0,5.0,71.429,1.0,6.0,75.0,
12,2012,16.1157,8.5271,,,,,,,,,,,,3.5088,217.0,,,,,,46.4286,7.0,5.0,71.429,1.0,7.0,,
13,2013,,,,,,,,,,,,,,,215.0,,,,,,,7.0,5.0,71.429,1.0,7.0,75.0,
14,2014,18.595,10.8527,,,,,,,,,,,,3.5088,243.0,,,,,,51.7857,7.0,5.0,71.429,1.0,11.0,75.0,
15,2015,18.595,10.8527,,,,,,,,,,,,3.5088,278.0,,,,,,51.7857,8.0,6.0,75.0,1.0,9.0,75.0,
16,2016,19.4215,12.4031,,,,,,,,,,,,3.5088,285.0,,,,,,51.7857,7.0,5.0,71.429,1.0,9.0,75.0,
17,2017,26.0331,14.7287,,,,,,903.92,,,,,,17.5439,323.0,,,,,,60.7143,8.0,6.0,75.0,1.0,9.0,75.0,
18,2018,26.8595,16.2791,,,,,,924.164,,,,,,17.5439,386.0,,,,,,60.7143,8.0,6.0,75.0,1.0,10.0,75.0,
19,2019,,,,,,,,,,,,,,,439.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
