,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,11.6981,,,,,,,,,,,,,3.125,4653.0,,,,,,51.7857,12.0,10.0,83.333,3.0,13.0,75.0,
8,2008,12.4528,1.3793,,,,,,,,,,,,3.125,4750.0,,,,,,51.7857,14.0,12.0,85.714,3.0,12.0,75.0,
9,2009,12.4528,1.3793,,,,,,,,,,,,3.125,4891.0,,,,,,51.7857,15.0,12.0,80.0,3.0,13.0,75.0,
10,2010,12.4528,1.3793,,,,,,,,,,,,3.125,4913.0,,,,,,51.7857,13.0,10.0,76.923,1.0,12.0,75.0,
11,2011,13.5849,1.3793,,,,,,,,,,,,3.125,4949.0,,,,,,57.1429,11.0,8.0,72.727,1.0,14.0,75.0,
12,2012,13.5849,1.3793,,,,,,,,,,,,7.8125,4759.0,,,,,,51.7857,12.0,9.0,75.0,1.0,12.0,75.0,
13,2013,13.5849,1.3793,,,,,,,,,,,,7.8125,4720.0,,,,,,51.7857,11.0,8.0,72.73,1.0,9.0,75.0,
14,2014,13.5849,1.3793,,,,,,,,,,,,7.8125,4761.0,,,,,,51.7857,11.0,8.0,72.727,1.0,9.0,75.0,
15,2015,16.2264,4.8276,,,,,,,,,,,,10.9375,4753.0,,,,,,51.7857,11.0,8.0,72.727,1.0,9.0,75.0,
16,2016,16.2264,4.8276,,,,,,,,,,,,10.9375,4747.0,,,,,,51.7857,13.0,10.0,76.923,1.0,9.0,75.0,
17,2017,16.2264,4.8276,,,,,,,,,,,,10.9375,4565.0,,,,,,51.7857,13.0,10.0,76.923,1.0,9.0,75.0,
18,2018,16.2264,4.8276,,,,,,,,,,,,10.9375,4628.0,,,,,,51.7857,12.0,9.0,75.0,1.0,10.0,75.0,
19,2019,16.2264,4.8276,,,,,,,,,,,,15.625,4907.0,,,,,5.0,46.4286,13.0,10.0,76.923,1.0,,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
