,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,11.5702,,,,,,,,,,,,,3.5088,7000.0,,,,,,46.4286,9.0,4.0,44.444,,10.0,75.0,
9,2009,11.5702,,,,,,,,,,,,,3.5088,7000.0,,,,,,46.4286,11.0,3.0,27.273,,6.0,75.0,
10,2010,12.8099,,,,,,,,,,,,,3.5088,7600.0,,,,,,51.7857,11.0,3.0,27.272,1.0,6.0,75.0,
11,2011,12.8099,,,,,,,,,,,,,3.5088,7300.0,,,,,,51.7857,11.0,3.0,27.273,1.0,7.0,75.0,
12,2012,12.8099,,,,,,,,,,,,,3.5088,6700.0,,,,,,51.7857,11.0,3.0,27.273,1.0,6.0,75.0,
13,2013,12.8099,,,,,,,,,,,,,3.5088,6900.0,,,,,,51.7857,7.0,5.0,71.429,1.0,9.0,80.0,
14,2014,12.8099,,,,,,,,,,,,,3.5088,6800.0,,,,,,51.7857,8.0,6.0,75.0,1.0,7.0,89.0,
15,2015,15.2893,,,,,,,,,,,,,14.0351,7300.0,,,,,,51.7857,9.0,7.0,77.778,1.0,11.0,75.0,
16,2016,15.2893,,,,,,,,,,,,,14.0351,9600.0,,,,,,51.7857,9.0,7.0,77.778,1.0,8.0,75.0,
17,2017,17.7686,2.3256,,,,,,,,,,,,19.2982,9800.0,,,,,,51.7857,9.0,7.0,77.778,1.0,8.0,73.89,
18,2018,17.7686,2.3256,,,,,,,,,,,,19.2982,9900.0,,,,,,51.7857,10.0,8.0,80.0,1.0,12.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
