,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,1898.0,,,,,,51.7857,10.0,7.0,70.0,1.0,11.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,1830.0,,,,,,51.7857,9.0,6.0,66.667,1.0,7.0,75.0,
9,2009,12.8099,,,,,,,,,,,,,3.5088,1877.0,,,,,,51.7857,9.0,7.0,77.778,1.0,5.0,75.0,
10,2010,14.0496,,,,,,,,,,,,,8.7719,1993.0,,,50.0,0.0,,51.7857,8.0,6.0,75.0,1.0,5.0,75.0,
11,2011,17.7686,6.9767,,,,89.239,,,,,,,,8.7719,2095.0,,,41.0,0.0,,51.7857,9.0,7.0,77.778,1.0,10.0,75.0,
12,2012,31.405,17.0543,,,,83.363,,305.1,8468.35,,,0.0,0.0,33.3333,2178.0,40.0,,44.0,0.0,,62.5,9.0,7.0,77.778,1.0,9.0,75.0,
13,2013,31.405,17.0543,,,,116.277,,310.0,8192.0,,,0.0,0.0,38.5965,2895.0,39.0,,35.0,0.0,55.0,57.1429,9.0,8.0,88.889,1.0,6.0,75.0,
14,2014,33.8843,17.0543,,,,119.302,,484.598,11954.1,,,0.0,0.0,49.1228,2973.0,39.0,,38.0,0.0,129.6,57.1429,10.0,9.0,90.0,1.0,6.0,75.0,
15,2015,36.3636,21.7054,,,,75.823,,292.418,11850.0,,,0.0,0.0,43.8596,2974.0,38.0,,,,140.3,62.5,10.0,9.0,90.0,1.0,5.0,75.0,
16,2016,43.3884,31.0078,,,,76.888,,294.127,11747.9,,,0.0,0.0,49.1228,3060.0,38.0,,,,84.445,66.0714,11.0,10.0,90.909,1.0,5.0,75.0,
17,2017,44.2149,32.5581,,,,81.25,,294.824,11539.8,,,0.0,0.0,49.1228,3117.0,38.0,,,,71.733,66.0714,11.0,10.0,90.909,1.0,5.0,75.0,
18,2018,44.2149,32.5581,,,,79.59,,301.317,11733.9,,,0.0,0.0,49.1228,3093.0,39.0,,,,93.542,66.0714,11.0,10.0,90.909,1.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
