,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2009,12.3967,,,,,,,,,,,,,3.5088,3200.0,,,,,,50.0,11.0,4.0,36.364,,7.0,75.0,
10,2010,16.1157,2.3256,,,,,,,,,,,,8.7719,3500.0,,,,,,55.3571,10.0,5.0,50.0,1.0,4.0,75.0,
11,2011,17.3554,2.3256,,,,,,,,,,,,14.0351,3500.0,,,,,,55.3571,7.0,4.0,57.143,1.0,5.0,75.0,
12,2012,17.3554,2.3256,,,,,,,,,,,,14.0351,3600.0,,,,,,55.3571,8.0,6.0,75.0,1.0,11.0,75.0,
13,2013,18.595,4.6512,,,,,,,,,,,,14.0351,4800.0,,,,,,55.3571,7.0,6.0,85.714,1.0,10.0,75.0,
14,2014,18.595,4.6512,,,,,,,,,,,,14.0351,8400.0,,,,,,55.3571,9.0,8.0,88.889,1.0,9.0,75.0,
15,2015,19.8347,4.6512,,,,,,,,,,,,19.2982,8200.0,,,,,,55.3571,8.0,7.0,87.5,1.0,13.0,75.0,
16,2016,19.8347,4.6512,,,,,,,,,,,,19.2982,15700.0,,,,,,55.3571,9.0,8.0,88.889,1.0,6.0,75.0,
17,2017,19.8347,4.6512,,,,,,,,,,,,19.2982,14000.0,,,,,,55.3571,9.0,7.0,77.778,1.0,6.0,75.0,
18,2018,21.0744,4.6512,,,,,,,,,,,,24.5614,15000.0,,,,,,55.3571,9.0,7.0,77.778,1.0,14.0,75.0,
19,2019,,,,,,,,,,,,,,,19000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
