,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,12.8099,,,,,,,,,,,,,3.5088,35700.0,,,,,,51.7857,11.0,9.0,81.818,3.0,7.0,75.0,
9,2009,21.9008,17.0543,170.197,,,438.706,,1279.48,,,,,,3.5088,31300.0,,,,,,51.7857,12.0,10.0,83.333,3.0,6.0,75.0,
10,2010,41.7355,36.4341,,,,557.595,,1541.2,1830.2,,129.119,,,38.5965,32100.0,36.4,31.1,,,,57.1429,11.0,9.0,81.818,3.0,5.0,83.0,
11,2011,38.843,33.3333,,,,541.36,,1534.14,1750.0,,126.742,,,33.3333,30400.0,34.0,34.0,,,,57.1429,11.0,9.0,81.818,1.0,8.0,82.0,
12,2012,39.6694,34.8837,,,,470.8,,1448.9,1530.0,,114.0,,,33.3333,29800.0,35.0,35.0,,,,57.1429,12.0,10.0,83.333,1.0,5.0,91.0,
13,2013,34.2975,24.8062,,,,475.1,,1300.0,124.924,,115.1,,,33.3333,26000.0,35.0,27.0,,,,57.1429,12.0,11.0,91.667,1.0,7.0,77.0,
14,2014,35.5372,27.1318,,,,459.5,,1280.0,109.782,,116.6,,,33.3333,28254.0,36.0,27.0,,,,57.1429,10.0,9.0,90.0,1.0,6.0,92.0,
15,2015,36.3636,24.8062,,,,486.4,,1370.0,1424.89,,127.1,,,38.5965,25000.0,36.0,32.0,,,1.6,60.7143,9.0,8.0,88.889,1.0,5.0,98.0,
16,2016,33.8843,20.155,,,,426.949,,1300.0,1282.93,,130.9,,,38.5965,25000.0,37.0,32.0,,,1.5,60.7143,10.0,8.0,80.0,1.0,5.0,93.0,
17,2017,24.7934,12.4031,,,,,,,,,,,,22.807,30000.0,,,,,,55.3571,11.0,8.0,72.727,1.0,5.0,100.0,
18,2018,19.8347,4.6512,,,,,,,,,,,,19.2982,30000.0,,,,,,55.3571,12.0,10.0,83.333,1.0,5.0,97.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
