,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,20.7547,14.4828,,,,856.965,,,,,,,,12.5,7300.0,,,,,,46.4286,9.0,5.0,55.556,1.0,13.0,,
9,2009,25.6604,17.931,,,,796.281,,,,,,,,15.625,7000.0,,,,,,57.1429,8.0,7.0,87.5,1.0,16.0,75.0,
10,2010,33.2075,13.7931,,,,800.655,,,,,,,,48.4375,7345.0,28.0,23.0,,,,66.0714,8.0,7.0,87.5,1.0,12.0,75.0,
11,2011,32.8302,14.4828,,,,790.922,,,,,,0.0,0.0,48.4375,7000.0,28.0,22.0,,,,62.5,8.0,7.0,87.5,1.0,13.0,75.0,
12,2012,38.8679,23.4483,,,,710.879,,55561.0,,,,0.0,0.0,53.125,6748.0,28.0,22.0,,,,62.5,8.0,7.0,87.5,1.0,9.0,75.0,
13,2013,30.1887,15.8621,,,,697.497,,,,,,,,29.6875,6600.0,,,,,0.31,67.8571,9.0,8.0,88.889,1.0,8.0,75.0,0.171
14,2014,36.6038,17.2414,,,,708.063,,,,,,,,57.8125,6335.0,27.0,24.0,,,2.884,62.5,8.0,7.0,87.5,1.0,11.0,75.0,0.193
15,2015,39.2453,19.3103,,,,644.655,,,,,,,,70.3125,6405.0,26.0,23.0,190.0,0.0,0.425,55.3571,9.0,8.0,88.889,1.0,13.0,75.0,
16,2016,45.283,32.4138,,,,633.014,,1284.93,1642250.0,,,,,65.625,6529.0,26.0,,151.0,0.0,0.34,55.3571,8.0,7.0,87.5,1.0,13.0,75.0,
17,2017,50.566,42.069,61.507,587.309,0.448,590.523,,1311.89,1647380.0,,,2.0,,60.9375,6536.0,26.0,,109.0,0.0,,60.7143,7.0,6.0,85.714,1.0,12.0,75.0,
18,2018,49.0566,39.3103,67.07,605.096,0.444,608.409,,1363.23,1660580.0,,,2.0,,60.9375,7107.0,26.0,,106.0,0.0,4.0,60.7143,8.0,7.0,87.5,1.0,13.0,72.65,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
