,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,21.9298,10.7143,,,,,,,,,,,,3.3333,66000.0,,,,,,64.2857,14.0,13.0,92.857,1.0,12.0,75.0,
8,2008,18.4211,8.0357,,,,,,,,,,,,3.3333,66000.0,,,,,,55.3571,12.0,10.0,83.333,1.0,12.0,75.0,
9,2009,18.4211,8.0357,,,,,,,,,,,,3.3333,58300.0,,,,,,55.3571,12.0,10.0,83.333,1.0,12.0,75.0,
10,2010,18.4211,8.0357,,,,,,,,,,,,3.3333,61000.0,,,,,,55.3571,13.0,10.0,76.923,1.0,10.0,75.0,
11,2011,23.2456,13.392900000000001,,,,,,,,,,,,11.6667,62500.0,,,,,,55.3571,13.0,10.0,76.923,1.0,9.0,75.0,
12,2012,23.2456,13.392900000000001,,,,,,,,,,,,11.6667,63500.0,,,,,,55.3571,13.0,10.0,76.923,1.0,8.0,75.0,
13,2013,32.4561,32.1429,,,,,,596.73,,,,0.0,,11.6667,62800.0,,,,,,55.3571,13.0,10.0,76.923,1.0,10.0,75.0,
14,2014,40.3509,40.1786,,,,,,569.857,681.846,,4.961,0.0,,21.6667,54000.0,54.0,37.0,,,,60.7143,13.0,10.0,76.923,1.0,9.0,75.0,0.153
15,2015,48.2456,46.4286,,126.671,0.223,159.289,,568.556,,,,0.0,,31.6667,54800.0,50.0,30.0,,,,69.6429,12.0,11.0,91.667,1.0,10.0,75.0,
16,2016,51.7544,48.2143,,84.813,0.161,153.198,,525.7,,,,0.0,,36.6667,56400.0,50.0,30.0,,,32.9,75.0,13.0,12.0,92.308,1.0,8.0,75.0,0.083
17,2017,48.2456,41.0714,,,,144.094,,536.407,,,,0.0,,36.6667,55000.0,50.0,30.0,,,37.0,75.0,14.0,13.0,92.857,1.0,9.0,75.0,0.081
18,2018,48.6842,39.2857,,,,136.726,,362.965,,,,0.0,,41.6667,59000.0,52.0,50.0,,,37.9,75.0,13.0,12.0,92.308,1.0,6.0,75.0,0.068
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
