,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,13.6364,,,,,,,,,,,,,3.5088,153000.0,,,,,,55.3571,11.0,10.0,90.909,1.0,10.0,94.0,
6,2006,15.7025,1.5504,,,,,,,,,,,,8.7719,154000.0,,,,,48.55,55.3571,11.0,10.0,90.909,1.0,8.0,94.0,
7,2007,31.8182,27.907,,1331.66,0.35,,0.368,3807.84,6771.5,8.956,,,,17.5439,159300.0,,,,,48.55,55.3571,12.0,11.0,91.667,1.0,7.0,80.0,
8,2008,35.5372,36.4341,,1300.0,0.349,1679.0,0.306,3727.7,,7.647,,,0.024,14.0351,162200.0,,,,,5.7,55.3571,9.0,8.0,88.889,1.0,8.0,83.0,
9,2009,29.3388,27.1318,,1290.0,0.347,,,3716.79,,8.105,,,0.028,8.7719,157100.0,,,,,,55.3571,12.0,11.0,91.667,1.0,10.0,85.0,
10,2010,33.0579,27.1318,,1250.0,0.347,,,3598.56,,6.9399999999999995,,,0.647,24.5614,160500.0,,,,,57.0,55.3571,13.0,12.0,92.308,1.0,8.0,85.0,
11,2011,31.8182,24.8062,,1200.0,0.317,,,3783.78,,7.5,,,0.226,24.5614,171700.0,,,,,57.0,55.3571,12.0,11.0,91.667,1.0,8.0,88.0,
12,2012,33.0579,27.1318,,1170.0,0.315,1300.0,,3716.16,,7.4,,,0.079,24.5614,174429.0,,,,,66.0,55.3571,11.0,10.0,90.909,1.0,7.0,86.0,
13,2013,36.3636,33.3333,,,,1803.38,,4060.14,,8.328,,,0.007,24.5614,168400.0,,,,,67.0,55.3571,11.0,10.0,90.909,1.0,8.0,90.0,
14,2014,35.9504,28.6822,,,,1851.88,,,,7.912,,,0.041,24.5614,165500.0,,,,,71.0,64.2857,11.0,10.0,90.909,1.0,7.0,95.0,
15,2015,36.7769,32.5581,,,,1520.7,,,,6.608,,,0.051,24.5614,161368.0,,,,,76.0,58.9286,12.0,10.0,83.333,1.0,7.0,90.0,
16,2016,31.8182,23.2558,,,,1252.0,,,,,,,,24.5614,150500.0,,,,,,58.9286,13.0,12.0,92.308,1.0,7.0,86.0,
17,2017,31.8182,24.8062,,,,1131.0,,,,,,,,24.5614,140800.0,,,,,,55.3571,13.0,12.0,92.308,1.0,7.0,90.0,
18,2018,33.0579,24.8062,,,,1116.0,,,,,,,,29.8246,153000.0,,,,,2.5,55.3571,13.0,12.0,92.308,1.0,7.0,87.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
