,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,36.8421,30.3571,,,,1380.0,2.505,2843.1,,,,,,30.0,203425.0,66.22,50.25,,,,57.1429,17.0,13.0,76.471,1.0,8.0,75.0,
7,2007,41.6667,37.5,,,,1428.62,,2832.76,,,,2.0,0.051,30.0,210000.0,66.01,49.24,,,,62.5,16.0,14.0,87.5,1.0,9.0,75.0,
8,2008,39.0351,29.4643,,,,1483.43,,,,,,1.0,0.016,30.0,243000.0,65.72,48.82,,,,67.8571,18.0,16.0,88.889,1.0,13.0,75.0,
9,2009,35.9649,35.7143,,,,2023.62,,4264.2,,,,,,6.6667,284000.0,,,,,,67.8571,15.0,13.0,86.667,1.0,34.0,75.0,
10,2010,59.6491,58.0357,,1805.0,0.454,1812.55,0.048,3972.73,15800.0,,,,0.024,50.0,288000.0,61.0,43.0,,,,73.2143,13.0,11.0,84.615,1.0,10.0,75.0,0.0
11,2011,65.3509,67.8571,,1684.0,0.455,1697.19,0.043,3699.74,13402.3,,147.104,,0.016,55.0,281791.0,56.0,33.0,,,,71.4286,13.0,11.0,84.615,1.0,18.0,75.0,0.0
12,2012,63.5965,66.9643,,1494.0,0.436,1540.94,0.037,3423.26,12387.7,2.5869999999999997,101.337,,0.016,55.0,267000.0,61.0,36.0,,,,66.0714,16.0,14.0,87.5,1.0,13.0,,0.0
13,2013,67.5439,66.9643,,1410.0,0.442,1448.4,0.035,3189.71,10977.0,1.116,122.766,,0.028,55.0,245452.0,58.0,36.0,,,,82.1429,15.0,13.0,86.667,1.0,16.0,75.0,0.0
14,2014,65.7895,61.6071,,,,1333.29,0.03,2930.34,9892.38,0.537,115.029,,0.0,55.0,227000.0,53.0,33.0,,,,85.7143,15.0,13.0,86.667,1.0,26.0,75.0,0.0
15,2015,65.7895,61.6071,,,,1135.73,0.025,2614.46,8978.42,1.086,111.586,,0.001,55.0,216000.0,51.852,38.0,,,,85.7143,13.0,11.0,84.615,1.0,21.0,75.0,0.253
16,2016,66.2281,61.6071,,,,1056.77,0.021,2471.16,8559.96,1.28,248.13,,0.003,56.6667,210247.0,51.0,38.0,,,,85.7143,14.0,13.0,92.857,1.0,21.0,75.0,0.251
17,2017,66.2281,61.6071,,,,918.35,0.02,2358.64,8198.52,1.053,102.775,,0.018,56.6667,209376.0,51.0,42.0,,,,85.7143,15.0,14.0,93.333,1.0,22.0,75.0,0.202
18,2018,64.0351,57.1429,,,,876.311,0.02,2309.38,,0.671,95.082,,0.002,56.6667,204000.0,50.0,36.0,,,,85.7143,16.0,15.0,93.75,1.0,19.0,75.0,0.201
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
