,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,41.7355,33.3333,,,,759.0,0.466,2484.72,14793.0,4.15,56.15,,0.012,45.614,46900.0,54.1,25.0,9.0,2.0,35.42,57.1429,12.0,11.0,91.667,3.0,13.0,91.0,
6,2006,42.562,33.3333,,,,739.0,0.463,2489.72,14280.0,4.09,60.09,,0.002,49.1228,47600.0,53.7,33.3,4.0,0.0,35.57,57.1429,12.0,11.0,91.667,3.0,9.0,93.0,
7,2007,41.7355,33.3333,,,,731.0,0.461,2512.22,13926.0,5.13,61.13,,0.005,45.614,46500.0,52.7,33.3,12.0,0.0,54.6,57.1429,13.0,12.0,92.308,3.0,9.0,84.0,
8,2008,42.562,31.0078,,,,738.0,0.455,2560.0,13729.0,5.82,62.82,,0.0,49.1228,48500.0,52.8,27.8,7.0,0.0,39.78,62.5,13.0,12.0,92.308,3.0,8.0,92.0,
9,2009,53.719,51.938,,,,773.0,0.44,2654.87,13458.0,6.27,63.27,,0.001,43.8596,49700.0,52.5,44.0,12.0,0.0,49.34,67.8571,13.0,12.0,92.308,3.0,8.0,94.0,
10,2010,59.5041,58.9147,,,,771.0,0.45,2701.68,13358.0,5.6,58.6,,0.001,49.1228,48000.0,51.9,45.9,5.0,0.0,75.31,71.4286,13.0,12.0,92.308,3.0,9.0,98.0,
11,2011,64.876,64.3411,303.0,,,798.0,0.45,2768.35,13943.0,5.82,72.82,,0.01,54.386,48500.0,51.3,45.9,12.0,1.0,28.93,76.7857,12.0,11.0,91.667,3.0,8.0,95.0,0.034
12,2012,66.1157,62.0155,,,,790.0,0.429,2765.71,14002.0,5.43,63.43,1.0,0.05,59.6491,51000.0,50.8,18.8,5.0,0.0,56.7,82.1429,13.0,12.0,92.308,3.0,10.0,98.0,0.294
13,2013,59.0909,60.4651,,,,821.0,0.425,2673.61,14800.0,6.33,65.33,22.0,0.028,43.8596,61000.0,50.5,,5.0,0.0,22.4,71.4286,13.0,12.0,92.308,3.0,9.0,96.0,0.282
14,2014,60.7438,63.5659,,,,857.0,0.431,2793.06,15800.0,11.43,76.43,15.0,0.0,43.8596,66000.0,50.1,,10.0,0.0,18.6,71.4286,13.0,12.0,92.308,3.0,8.0,96.0,0.341
15,2015,58.6777,62.0155,,,,697.0,0.362,2213.06,11950.0,3.2800000000000002,55.28,10.0,0.001,43.8596,50000.0,49.4,,4.0,0.0,20.3,66.0714,12.0,11.0,91.667,3.0,12.0,75.0,
16,2016,59.5041,61.2403,,,,652.0,0.386,2514.44,13735.0,13.6,77.9,4.0,0.0,43.8596,48000.0,49.3,,8.0,0.0,22.77,71.4286,11.0,10.0,90.909,3.0,10.0,75.0,0.072
17,2017,61.9835,65.8915,,,,573.0,0.368,2695.83,13052.0,8.1,71.0,5.0,0.005,43.8596,47000.0,49.4,,7.0,0.0,16.67,71.4286,13.0,12.0,92.308,3.0,6.0,75.0,0.064
18,2018,61.9835,65.8915,,,,621.0,0.406,2822.22,13540.0,7.1,69.9,9.0,0.079,43.8596,50000.0,48.0,,6.0,1.0,10.96,71.4286,12.0,11.0,91.667,1.0,8.0,75.0,0.069
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
