,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,25.8373,6.25,,,,,,,,,,,,28.0702,140060.0,27.0,,,,25.3,57.1429,12.0,8.0,66.667,2.0,6.0,75.0,
8,2008,30.622,16.6667,,,,940.638,,,,,,,,28.0702,147393.0,28.0,,,,31.8,57.1429,11.0,7.0,63.636,2.0,5.0,75.0,
9,2009,30.622,16.6667,,,,,,,,,,,,28.0702,162918.0,31.0,,,,33.4,57.1429,13.0,9.0,69.231,2.0,6.0,75.0,
10,2010,32.0574,19.7917,,,,,,,,,,,,28.0702,176596.0,32.0,,,,25.2,57.1429,15.0,10.0,66.667,2.0,5.0,95.0,
11,2011,32.0574,19.7917,,,,,,,,,,,,28.0702,180000.0,31.0,,,,26.1,57.1429,12.0,9.0,75.0,2.0,4.0,95.0,
12,2012,32.0574,19.7917,,,,,,,,,,,,22.807,167000.0,31.0,,,,,62.5,11.0,9.0,81.818,2.0,5.0,95.0,0.2
13,2013,34.9282,19.7917,,,,,,,,,,,,33.3333,165000.0,31.0,,,,2.75,62.5,8.0,7.0,87.5,2.0,7.0,95.0,
14,2014,41.6268,34.375,,,,845.541,,,1400.0,,,0.0,0.0,33.3333,140000.0,30.0,,,,,62.5,10.0,9.0,90.0,1.0,6.0,95.0,0.26
15,2015,50.7177,55.2083,,,,692.765,,1610.84,1500.0,0.008,300.445,0.0,0.0,33.3333,125000.0,28.0,,,,,60.7143,12.0,11.0,91.667,1.0,5.0,95.0,
16,2016,53.5885,55.2083,,,,574.32,,1875.56,1400.0,0.01,72.443,0.0,0.0,38.5965,125000.0,26.0,,,,,66.0714,10.0,9.0,90.0,1.0,7.0,98.0,
17,2017,52.1531,55.2083,,,,548.864,,1795.35,1400.0,0.011,68.356,0.0,0.0,33.3333,125000.0,27.0,,,,,66.0714,10.0,9.0,90.0,1.0,4.0,98.0,
18,2018,54.067,53.125,,,,501.352,,1004.3,1200.0,0.015,92.274,,,43.8596,125000.0,26.0,32.0,,,,66.0714,10.0,9.0,90.0,1.0,4.0,98.0,
19,2019,52.6316,53.125,,,,500.753,,1876.2,1200.0,0.022,212.436,,,33.3333,125000.0,26.0,,,,,71.4286,12.0,11.0,91.667,1.0,5.0,100.0,0.18
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
