,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,22.7273,13.9535,,,,465.126,,1155.8,4107.36,0.851,18.47,,,8.7719,26990.0,,,,,8.603,57.1429,13.0,12.0,92.308,3.0,10.0,75.0,0.032
7,2007,30.5785,16.2791,,,,479.578,,1157.18,,,,,,28.0702,28018.0,,,,,8.053,66.0714,14.0,13.0,92.857,3.0,6.0,75.0,0.023
8,2008,40.0826,40.3101,,,,494.84,,1254.69,4983.65,2.191,41.786,,,28.0702,28277.0,,,,,9.718,51.7857,14.0,12.0,85.714,3.0,7.0,75.0,
9,2009,43.3884,44.186,,,,437.285,,1216.74,4457.04,1.5739999999999998,40.318,,,28.0702,29116.0,,,,,11.0,57.1429,13.0,12.0,92.308,1.0,8.0,75.0,
10,2010,43.3884,44.186,,,,392.709,,1265.28,3985.45,1.998,43.545,,,28.0702,28803.0,,,,,18.507,57.1429,14.0,13.0,92.857,1.0,6.0,75.0,
11,2011,44.6281,44.186,,,,371.315,,1321.27,4040.94,1.524,43.65,,,28.0702,29369.0,,,,,14.5,62.5,14.0,13.0,92.857,1.0,6.0,75.0,0.058
12,2012,48.3471,48.8372,,,,322.692,,1257.71,4309.81,1.321,36.67,,,28.0702,29555.0,,,,,3.8,67.8571,14.0,13.0,92.857,1.0,6.0,75.0,0.064
13,2013,48.3471,48.8372,,,,322.735,,1262.18,4201.99,1.3679999999999999,41.633,,,28.0702,29979.0,,,,,11.28,67.8571,15.0,14.0,93.333,1.0,8.0,75.0,0.072
14,2014,44.6281,46.5116,,,,261.918,,1264.59,4452.05,1.206,38.683,,,28.0702,30619.0,,,,,9.876,57.1429,15.0,14.0,93.333,1.0,12.0,74.73,
15,2015,44.6281,44.9612,,,,269.789,,1397.04,4980.58,1.7850000000000001,49.069,,,28.0702,49517.0,,,,,14.774000000000001,60.7143,14.0,13.0,92.857,1.0,6.0,75.0,
16,2016,47.9339,46.5116,,,,228.156,,1389.45,4793.83,1.907,50.807,,,38.5965,50928.0,,22.0,,,17.889,60.7143,13.0,12.0,92.308,1.0,8.0,75.0,
17,2017,49.1736,46.5116,,,,297.27,,1449.11,4326.6,1.6360000000000001,48.054,,,43.8596,41933.0,43.0,22.0,,,28.441,60.7143,15.0,14.0,93.333,1.0,11.0,75.0,
18,2018,49.1736,46.5116,,,,219.413,,7606.24,4552.75,2.499,57.885,,,43.8596,76032.0,44.0,23.0,,,27.227,60.7143,14.0,13.0,92.857,1.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,70093.0,,,,,,,13.0,11.0,84.615,1.0,5.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
