,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,18.4211,8.0357,,,,29.37,,,,,,,,6.6667,8700.0,,,,,,51.7857,13.0,8.0,61.539,1.0,6.0,92.0,
8,2008,17.5439,8.0357,,,,30.967,,,,,,,,3.3333,8800.0,,,,,,51.7857,13.0,8.0,61.539,1.0,6.0,88.0,
9,2009,13.5965,,,,,,,,,,,,,3.3333,7700.0,,,,,,51.7857,12.0,7.0,58.333,1.0,5.0,95.8,
10,2010,,,,,,,,,,,,,,,7900.0,,,,,,,11.0,7.0,63.636,1.0,5.0,94.4,
11,2011,14.9123,2.6786,,,,,,,,,,,,3.3333,8500.0,,,,,,51.7857,11.0,8.0,72.727,1.0,5.0,100.0,
12,2012,,,,,,,,,,,,,,,8600.0,,,,,,,11.0,8.0,72.727,1.0,5.0,98.2,
13,2013,17.1053,2.6786,,,,,,,,,,,,11.6667,9000.0,,,,,,51.7857,11.0,8.0,72.727,1.0,5.0,100.0,
14,2014,25.0,18.75,,,,37.655,,,,,,,,11.6667,9300.0,,,,,,51.7857,10.0,8.0,80.0,1.0,5.0,97.0,
15,2015,21.0526,10.7143,,,,,,,,,,,,11.6667,9500.0,,,,,,51.7857,10.0,7.0,70.0,1.0,6.0,99.0,
16,2016,21.0526,10.7143,,,,,,,,,,,,11.6667,9100.0,,,,,,51.7857,10.0,7.0,70.0,1.0,5.0,96.0,
17,2017,21.0526,10.7143,,,,,,,,,,,,11.6667,9400.0,,,,,,51.7857,10.0,7.0,70.0,1.0,5.0,98.0,
18,2018,26.3158,10.7143,,,,,,,,,,,,26.6667,9700.0,43.0,27.25,,,,57.1429,10.0,7.0,70.0,1.0,5.0,97.0,
19,2019,22.3684,10.7143,,,,,,,,,,,,11.6667,9600.0,,,,,,57.1429,10.0,7.0,70.0,1.0,5.0,100.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
