,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,13.6364,,,,,,,,,,,,,3.5088,3340.0,,,,,,55.3571,11.0,10.0,90.909,3.0,19.0,75.0,
6,2006,42.562,40.3101,,,,100.028,0.017,315.48,729.752,0.081,0.342,0.0,0.0,24.5614,3750.0,,,42.0,0.0,11.825,66.0714,12.0,10.0,83.333,3.0,12.0,75.0,0.067
7,2007,48.3471,42.6357,,,,99.72,0.009,347.754,819.148,0.016,0.404,0.0,0.0,49.1228,4299.0,50.0,39.0,37.0,0.0,11.08,60.7143,12.0,10.0,83.333,3.0,16.0,75.0,
8,2008,51.6529,48.062,,,,104.219,0.011,337.155,774.98,0.079,0.32,0.0,0.0,49.1228,4599.0,51.0,40.0,22.0,0.0,11.621,62.5,13.0,11.0,84.615,3.0,23.0,75.0,0.058
9,2009,65.2893,59.6899,,,,101.829,0.011,332.371,750.188,0.259,0.288,0.0,0.0,66.6667,4676.0,51.0,41.0,13.0,0.0,13.641,76.7857,12.0,11.0,91.667,3.0,15.0,80.0,0.112
10,2010,48.3471,41.8605,,,,105.206,0.006,337.589,750.457,,1.9340000000000002,,,49.1228,4850.0,51.0,35.0,,,,62.5,12.0,11.0,91.67,3.0,14.0,75.0,
11,2011,,,,,,101.146,0.005,331.265,715.644,0.131,2.565,0.0,0.0,,5000.0,51.0,37.0,21.0,0.0,,,12.0,11.0,91.667,1.0,11.0,75.0,
12,2012,52.4793,47.2868,,,,84.895,,324.114,666.649,0.228,3.5540000000000003,0.0,0.0,54.386,5950.0,52.0,38.0,3.0,,,62.5,12.0,11.0,91.67,1.0,10.0,75.0,
13,2013,49.1736,45.7364,,,,90.754,,336.576,694.923,0.138,4.584,0.0,0.0,43.8596,6850.0,51.5,,3.0,,,62.5,12.0,11.0,91.667,1.0,15.0,75.0,
14,2014,50.0,49.6124,,,,95.417,,346.933,799.021,0.186,3.995,0.0,0.0,38.5965,7550.0,51.5,,3.0,,,62.5,11.0,10.0,90.909,1.0,10.0,75.0,
15,2015,48.3471,48.8372,,,,98.376,,412.466,927.474,0.245,5.615,0.0,0.0,33.3333,7350.0,50.1,,,,,62.5,11.0,10.0,90.909,1.0,16.0,75.0,
16,2016,45.4545,43.4109,,,,117.074,,465.044,1117.4,0.227,8.188,,,33.3333,7400.0,49.2,,,,,62.5,11.0,10.0,90.909,1.0,17.0,75.0,
17,2017,45.0413,41.0853,,,,103.269,,450.85,1405.8,0.211,7.816,,,33.3333,7300.0,49.6,,,,,66.0714,11.0,10.0,90.909,1.0,16.0,75.0,
18,2018,45.0413,41.0853,,,,108.62,,491.195,1745.17,0.233,8.394,,,33.3333,7800.0,50.6,,,0.0,,66.0714,11.0,10.0,90.909,1.0,12.0,75.0,
19,2019,,,,,,,,,,,,,,,7400.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
