,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,16.2281,2.6786,,,,,,,,,,,,8.3333,42000.0,,,,,,51.7857,18.0,14.0,77.778,1.0,5.0,75.0,
8,2008,26.7544,18.75,,,,213.985,,,,,,,,18.3333,42900.0,48.0,,,,,51.7857,15.0,13.0,86.667,1.0,16.0,75.0,
9,2009,39.0351,36.6071,,,,242.15,,348.0,,,3.628,,,21.6667,42200.0,47.0,,,,,62.5,15.0,13.0,86.667,1.0,14.0,75.0,0.289
10,2010,48.6842,48.2143,,,,223.723,,449.0,,,8.75,,,31.6667,48000.0,54.0,,,,,67.8571,15.0,13.0,86.667,1.0,11.0,75.0,0.611
11,2011,52.6316,48.2143,,,,211.57,,476.0,,,7.67,,,36.6667,48700.0,55.0,,,,,78.5714,13.0,12.0,92.308,1.0,12.0,75.0,0.549
12,2012,50.4386,46.4286,,,,218.439,,448.0,,,7.67,,,31.6667,49500.0,,,,,,78.5714,12.0,11.0,91.667,1.0,11.0,75.0,0.513
13,2013,53.9474,49.1071,,,,216.396,,437.0,,,7.17,,,45.0,51100.0,44.0,26.0,,,,73.2143,12.0,11.0,91.667,1.0,12.0,75.0,0.35
14,2014,,,,,,218.685,,436.404,439.039,0.003,5.755,0.0,0.0,,50300.0,43.0,26.0,,,,,14.0,13.0,92.857,1.0,21.0,93.0,0.329
15,2015,63.5965,65.1786,,,,193.485,,426.527,1710.64,0.001,5.264,0.0,0.0,45.0,51200.0,43.0,27.0,,,,80.3571,14.0,13.0,92.857,1.0,17.0,90.0,0.239
16,2016,49.1228,40.1786,,,,,,376.828,,,,0.0,0.0,41.6667,52000.0,42.0,27.0,,,,75.0,14.0,13.0,92.857,1.0,14.0,93.0,
17,2017,52.6316,47.3214,,,,154.922,,358.396,,,,0.0,0.0,41.6667,52500.0,42.0,27.0,,,,75.0,13.0,11.0,84.615,1.0,15.0,97.0,
18,2018,56.5789,52.6786,,,,150.157,,360.888,,,5.824,0.0,0.0,41.6667,51300.0,41.0,28.0,,,,80.3571,12.0,11.0,91.667,1.0,10.0,94.3,0.0
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
