,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,35.124,27.907,,,,1473.83,0.189,3455.56,7956.53,,50.205,,,29.8246,13100.0,15.0,17.0,,0.0,,57.1429,10.0,8.0,80.0,3.0,5.0,75.0,0.011
6,2006,33.8843,27.907,,,,1508.68,0.186,3450.0,7827.22,,54.465,,,24.5614,15500.0,16.0,18.0,,1.0,,57.1429,10.0,8.0,80.0,3.0,7.0,75.0,0.073
7,2007,50.0,48.062,,,,1442.38,0.235,3488.83,7802.0,,63.441,7.0,0.07,38.5965,15393.0,16.0,18.0,,1.0,,66.0714,10.0,9.0,90.0,3.0,5.0,75.0,0.019
8,2008,,,,,,1306.13,0.231,3287.18,,,,,,,14759.0,18.0,17.0,,0.0,2.0,,10.0,8.0,80.0,3.0,6.0,75.0,0.112
9,2009,,,,,,1243.8,0.218,3096.92,,,32.535,11.0,0.005,,13903.0,18.0,18.0,,0.0,3.0,,10.0,8.0,80.0,3.0,5.0,75.0,0.013
10,2010,47.1074,44.186,,,,1331.52,0.236,3239.39,,,34.66,,,43.8596,14000.0,,,,0.0,3.0,57.1429,11.0,8.0,72.727,3.0,7.0,75.0,
11,2011,51.2397,47.2868,,,,1322.06,0.268,3386.21,,,43.766,7.0,0.011,49.1228,15000.0,17.71,,,0.0,4.0,62.5,11.0,8.0,72.727,3.0,5.0,75.0,0.022
12,2012,50.0,44.9612,,,,1310.25,0.265,3400.0,,,41.109,,,54.386,14200.0,18.9,19.7,,0.0,1.1,57.1429,11.0,9.0,81.818,3.0,5.0,75.0,
13,2013,52.8926,52.7132,,,,1259.06,0.262,3424.02,,,41.585,,,49.1228,14453.0,17.59,,,0.0,2.4,57.1429,10.0,8.0,80.0,3.0,5.0,75.0,
14,2014,47.9339,48.062,,,,1231.54,0.262,3451.85,,,39.52,,,38.5965,14500.0,,,,0.0,,57.1429,11.0,9.0,81.818,3.0,5.0,75.0,
15,2015,50.0,47.2868,,,,1232.84,0.261,3514.58,,,45.251,,,43.8596,15200.0,17.3,,,0.0,,62.5,9.0,7.0,77.778,3.0,10.0,75.0,
16,2016,50.8264,46.5116,,,,1493.86,0.323,4637.33,,,72.12,,,49.1228,18450.0,17.0,,,0.0,3.2,62.5,11.0,9.0,81.818,3.0,7.0,80.0,
17,2017,56.1983,56.5891,,,,1397.52,0.326,4601.12,,8.33,72.683,,,49.1228,18342.0,16.0,,,0.0,4.1,62.5,13.0,10.0,76.923,3.0,5.0,80.0,
18,2018,39.2562,34.8837,,,,1354.59,,4493.42,10138.9,,64.902,,,33.3333,17500.0,20.0,18.29,,,,55.3571,11.0,9.0,81.818,3.0,5.0,80.0,
19,2019,,,,,,,,,,,,,,,18300.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
