,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,33.4711,28.6822,,,,1077.0,,5888.89,,39.2,85.2,,,22.807,42000.0,,,,,750.0,55.3571,11.0,10.0,90.909,1.0,8.0,96.0,
6,2006,53.719,51.1628,450.0,998.0,0.297,,0.258,3360.0,,32.7,84.1,6.0,0.02,42.1053,43000.0,,29.9,339.0,0.0,,71.4286,11.0,10.0,90.909,1.0,16.0,94.0,0.386
7,2007,53.719,48.062,435.0,972.0,0.303,,0.223,3206.0,,20.8,67.4,0.0,0.0,54.386,42000.0,51.4,29.9,335.0,1.0,,66.0714,11.0,10.0,90.909,1.0,14.0,95.0,0.335
8,2008,58.2645,51.938,378.0,832.0,0.28,,0.18,2976.0,,13.0,58.6,2.0,0.055,54.386,30000.0,51.0,27.4,266.0,1.0,,76.7857,10.0,9.0,90.0,1.0,14.0,90.0,0.316
9,2009,43.8017,39.5349,,,,600.0,,3638.89,,12.1,40.6,,,36.8421,28000.0,,29.8,,1.0,,60.7143,11.0,9.0,81.818,1.0,13.0,93.0,
10,2010,40.9091,27.1318,,,,589.0,,3639.98,,10.72,38.245,,,47.3684,27000.0,51.3,29.8,,,,66.0714,12.0,9.0,75.0,1.0,10.0,98.0,
11,2011,46.6942,36.4341,,,,546.949,,3194.44,,12.1,35.0,,0.0,54.386,27000.0,50.0,32.2,,,,62.5,11.0,8.0,72.727,1.0,7.0,98.0,
12,2012,43.3884,34.8837,,,,517.0,,3111.11,,15.3,38.7,,,54.386,28000.0,50.6,32.2,,1.0,,51.7857,12.0,9.0,75.0,1.0,10.0,75.0,
13,2013,,,,,,496.0,,2972.22,,13.6,35.2,,,,28000.0,50.2,32.3,,,,,10.0,9.0,90.0,1.0,7.0,73.5,
14,2014,45.8678,35.6589,,,,483.0,,2916.67,,13.4,34.2,,,54.386,25000.0,50.1,31.5,,,,60.7143,12.0,10.0,83.333,1.0,8.0,96.0,
15,2015,48.3471,37.9845,,,,422.0,,2861.11,,14.2,32.8,,,54.386,25000.0,50.4,31.9,,,,66.0714,11.0,9.0,81.818,1.0,7.0,97.0,
16,2016,43.3884,37.9845,,,,394.0,,2861.11,,14.5,35.2,,,33.3333,25000.0,,,,,,66.0714,11.0,9.0,81.818,1.0,11.0,96.0,
17,2017,44.6281,37.9845,,,,374.4,,2666.67,,3.7,30.2,,,33.3333,23700.0,,,,,,71.4286,10.0,9.0,90.0,1.0,12.0,96.0,0.279
18,2018,40.0826,31.7829,,,,372.0,,2611.11,,,,,,28.0702,23300.0,,,,,,71.4286,11.0,10.0,90.909,1.0,10.0,98.0,0.258
19,2019,,,,,,,,,,,,,,,30000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
