,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,12.8099,,,,,,,,,,,,,8.7719,4850.0,,,,,,46.4286,8.0,6.0,75.0,,6.0,75.0,
9,2009,12.8099,,,,,,,,,,,,,8.7719,5060.0,,,,,,46.4286,9.0,7.0,77.78,,6.0,75.0,
10,2010,14.0496,,,,,,,,,,,,,8.7719,5400.0,,,,,,51.7857,9.0,7.0,77.778,1.0,10.0,75.0,
11,2011,15.2893,,,,,,,,,,,,,14.0351,5900.0,,,,,,51.7857,10.0,8.0,80.0,1.0,8.0,75.0,
12,2012,14.0496,,,,,,,,,,,,,8.7719,6200.0,,,,,,51.7857,9.0,8.0,88.889,1.0,10.0,75.0,
13,2013,16.1157,,,,,,,,,,,,,14.0351,6400.0,,,,,,55.3571,9.0,8.0,88.89,1.0,6.0,75.0,
14,2014,14.876,,,,,,,,,,,,,14.0351,6700.0,,,,,,50.0,9.0,8.0,88.89,1.0,5.0,,
15,2015,15.2893,,,,,,,,,,,,,14.0351,7400.0,,,,,,51.7857,9.0,8.0,88.889,1.0,5.0,100.0,
16,2016,15.2893,,,,,,,,,,,,,14.0351,8000.0,,,,,,51.7857,9.0,8.0,88.889,1.0,6.0,98.89,
17,2017,15.2893,,,,,,,,,,,,,14.0351,10000.0,,,,,,51.7857,9.0,8.0,88.889,1.0,5.0,100.0,
18,2018,18.1818,3.876,,,,,,,,,,,,14.0351,10000.0,,,,,,55.3571,10.0,9.0,90.0,1.0,5.0,100.0,
19,2019,18.1818,3.876,,,,,,,,,,,,14.0351,11000.0,,,,,,55.3571,11.0,9.0,81.818,1.0,5.0,100.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
