,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,12.8099,,,,,,,,,,,,,3.5088,28600.0,,,,,,51.7857,14.0,10.0,71.429,3.0,9.0,75.0,
7,2007,12.8099,,,,,,,,,,,,,3.5088,27500.0,,,,,,51.7857,15.0,11.0,73.333,1.0,10.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,24800.0,,,,,,51.7857,15.0,11.0,73.333,1.0,6.0,75.0,
9,2009,26.0331,22.4806,,,,146.364,,,991.823,,9.213,,,8.7719,26000.0,,,,,,51.7857,14.0,10.0,71.429,1.0,10.0,75.0,
10,2010,28.5124,27.1318,,,,142.727,,,885.827,,8.655,,,8.7719,25000.0,,,,,,51.7857,12.0,9.0,75.0,1.0,11.0,75.0,
11,2011,32.2314,34.1085,,,,136.364,,417.0,847.971,,9.405,,,8.7719,24000.0,,,,,,51.7857,11.0,7.0,63.636,1.0,9.0,75.0,
12,2012,35.124,39.5349,,,,125.455,,377.0,832.829,0.899,8.818,,,8.7719,24000.0,,,,,,51.7857,10.0,7.0,70.0,1.0,6.0,75.0,
13,2013,35.124,39.5349,,,,115.455,,366.0,794.973,0.88,8.364,,,8.7719,23000.0,,,,,,51.7857,10.0,9.0,90.0,1.0,6.0,75.0,
14,2014,35.124,35.6589,,,,110.0,,358.0,794.973,0.882,8.0,,,14.0351,24000.0,,,,,,55.3571,11.0,10.0,90.909,1.0,6.0,75.0,
15,2015,37.6033,41.8605,,,,107.048,,370.0,745.76,0.941,8.8,,,14.0351,25000.0,,,,,,51.7857,12.0,11.0,91.667,1.0,5.0,75.0,
16,2016,29.7521,24.8062,,,,97.976,,367.0,,,,,,14.0351,27000.0,,,,,,57.1429,11.0,10.0,90.909,1.0,6.0,75.0,0.0
17,2017,42.562,39.5349,,,,94.946,,352.0,743.0,1.167,12.787,,,40.3509,29000.0,46.0,27.3,,0.0,8.5,51.7857,10.0,9.0,90.0,1.0,6.0,75.0,
18,2018,47.5207,44.9612,,,,85.127,,352.0,689.0,0.792,12.372,0.0,0.0,43.8596,32000.0,46.0,29.5,,0.0,8.9,57.1429,10.0,9.0,90.0,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
