,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,12.8099,,,,,,,,,,,,,3.5088,660.0,,,,,,51.7857,10.0,6.0,60.0,3.0,11.0,75.0,
8,2008,12.8099,,,,,,,,,,,,,3.5088,700.0,,,,,,51.7857,10.0,7.0,70.0,3.0,11.0,75.0,
9,2009,13.6364,1.5504,,,,,,,,,,,,3.5088,700.0,,,,,,51.7857,11.0,8.0,72.727,3.0,9.0,75.0,
10,2010,13.6364,1.5504,,,,,,,,,,,,3.5088,680.0,,,,,,51.7857,9.0,6.0,66.667,3.0,9.0,75.0,
11,2011,17.3554,8.5271,,,,,,,,,,,,3.5088,700.0,,,,,,51.7857,10.0,8.0,80.0,1.0,8.0,75.0,
12,2012,,,,,,,,,,,,,,,730.0,,,,,,,9.0,7.0,77.778,1.0,7.0,75.0,
13,2013,21.9008,17.0543,,,,336.263,,973.081,2257.31,,,,,3.5088,760.0,,,,,,51.7857,11.0,8.0,72.727,1.0,9.0,75.0,
14,2014,23.1405,17.0543,,,,332.852,,906.583,2166.99,,,,,8.7719,750.0,,,,,,51.7857,11.0,8.0,72.727,1.0,9.0,75.0,
15,2015,33.0579,31.0078,,,,275.2,,895.272,2197.91,,31.225,,,14.0351,765.0,,,,,,57.1429,11.0,8.0,72.727,1.0,7.0,75.0,
16,2016,34.2975,33.3333,,,,246.197,,864.79,2214.43,0.015,29.183,,,14.0351,785.0,,,,,,57.1429,11.0,8.0,72.727,1.0,7.0,75.0,
17,2017,35.124,31.7829,,,,220.448,,816.458,2029.38,,28.161,,,17.5439,740.0,,,,,,60.7143,11.0,9.0,81.818,1.0,7.0,75.0,
18,2018,37.6033,34.1085,,,,220.582,,1048.58,2143.51,,24.065,,,22.807,631.0,,,,,,60.7143,11.0,9.0,81.818,1.0,8.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
