,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,42.9825,48.2143,,,,1275.81,,2549.55,7321.63,,96.427,,,16.6667,299938.0,,,,,,60.7143,16.0,13.0,81.25,1.0,12.0,75.0,
6,2006,42.9825,45.5357,,,,1365.6,,2617.36,7364.2,,107.743,,,21.6667,333097.0,,,,,,60.7143,16.0,13.0,81.25,1.0,12.0,75.0,
7,2007,49.1228,50.8929,,,,1305.43,,2781.91,7790.19,,96.94,,,25.0,374000.0,,,,,,71.4286,15.0,11.0,73.333,1.0,13.0,75.0,1.8159999999999998
8,2008,59.2105,50.0,,,,1288.34,,2745.86,8321.46,,92.1,,,60.0,322049.0,53.0,40.0,1441.0,0.0,,76.7857,14.0,12.0,85.714,1.0,25.0,75.0,1.8719999999999999
9,2009,61.8421,50.8929,,,,1185.39,,2583.18,7097.69,,81.26,,,68.3333,265353.0,54.6,40.5,1195.0,0.0,29.0,76.7857,17.0,16.0,94.118,1.0,30.0,75.0,0.616
10,2010,65.3509,52.6786,45.075,,,1086.87,,2397.51,6165.32,,68.76,,,78.3333,259619.0,53.8,40.3,1004.0,0.0,46.0,76.7857,15.0,13.0,86.667,1.0,18.0,75.0,1.112
11,2011,71.0526,64.2857,,,,1056.46,0.042,2344.0,6897.48,,65.41,,,78.3333,266426.0,53.3,40.2,838.0,0.0,43.0,76.7857,12.0,10.0,83.333,1.0,22.0,75.0,0.738
12,2012,70.614,58.9286,,,,1040.58,0.062,2290.0,7169.28,,60.26,,,86.6667,259249.0,53.4,15.38,801.0,,60.5,76.7857,12.0,10.0,83.333,1.0,22.0,75.0,0.932
13,2013,64.4737,56.25,,,,987.83,,2145.0,6762.32,,60.107,,,68.3333,251381.0,53.0,22.64,715.0,0.0,66.0,76.7857,14.0,12.0,85.714,1.0,19.0,75.0,0.422
14,2014,56.1404,50.8929,,,,924.252,,1988.0,6049.21,,55.888,0.0,0.0,48.3333,241000.0,52.4,18.59,,,68.8,75.0,13.0,12.0,92.308,1.0,21.0,74.85,0.578
15,2015,54.386,49.1071,,,,837.359,,1820.0,5522.88,,49.988,,,45.0,231100.0,51.41,24.0,,,,75.0,14.0,12.0,85.714,1.0,20.0,75.0,0.17
16,2016,54.386,49.1071,,,,788.553,,1721.0,5128.19,,56.271,,,45.0,232537.0,51.0,24.0,,,,75.0,16.0,14.0,87.5,1.0,21.0,75.0,0.555
17,2017,55.2632,50.8929,,,,721.349,,1574.0,4758.92,,47.614,,,45.0,209203.0,51.0,31.9,,,,75.0,16.0,14.0,87.5,1.0,19.0,75.0,0.33
18,2018,56.5789,50.8929,,,,657.652,,1520.0,4479.84,,36.708,,,50.0,204256.0,51.0,27.5,,,,75.0,17.0,16.0,94.118,1.0,20.0,75.0,1.005
19,2019,,,,,,,,,,,,,,,200000.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
