,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,28.9256,16.2791,,,,2033.0,,,50348.301,,,,,31.5789,,39.0,19.0,,,,55.3571,13.0,11.0,84.615,1.0,7.0,75.0,
8,2008,43.3884,31.0078,,,,2047.0,,,51036.0,,,95.0,0.186,49.1228,25000.0,39.0,,,,,66.0714,10.0,9.0,90.0,1.0,9.0,75.0,
9,2009,43.3884,33.3333,,,,2208.74,,,51027.199,,,43.0,0.007,49.1228,25905.0,39.0,,,,,60.7143,11.0,10.0,90.909,1.0,8.0,75.0,
10,2010,41.3223,28.6822,,,,1925.54,,,51144.5,,,29.0,0.035,54.386,25248.0,38.0,,,,,57.1429,11.0,10.0,90.909,1.0,8.0,75.0,
11,2011,45.0413,35.6589,,,,1887.25,,,52040.0,,1232.27,19.0,0.005,54.386,23172.0,38.0,,,,,57.1429,11.0,10.0,90.909,1.0,10.0,75.0,
12,2012,46.281,35.6589,,,,1903.77,,,50668.0,,1171.63,31.0,0.113,54.386,24539.0,37.63,,,,,62.5,11.0,10.0,90.909,1.0,9.0,75.0,
13,2013,45.0413,35.6589,,,,1924.0,,,49697.0,,1196.49,20.0,0.036,54.386,34844.0,39.77,,,,,57.1429,11.0,10.0,90.909,1.0,12.0,75.0,
14,2014,45.0413,35.6589,,,,2159.16,,,51376.0,,1473.29,36.0,1.11,54.386,32800.0,40.34,,,,,57.1429,12.0,11.0,91.667,1.0,8.0,75.0,
15,2015,49.1736,43.4109,,,,1689.41,,26095.4,47158.0,,1257.76,35.0,0.454,54.386,31731.0,40.93,,,,,57.1429,12.0,11.0,91.667,1.0,9.0,75.0,
16,2016,48.3471,37.9845,,,,1683.12,,6203.89,48391.0,,1299.56,18.0,0.026,54.386,19871.0,40.03,,,,,66.0714,12.0,11.0,91.667,1.0,15.0,75.0,
17,2017,45.8678,42.6357,331.235,,,710.0,,4065.29,15339.1,,,3.0,0.264,38.5965,12525.0,41.0,,,,,60.7143,11.0,10.0,90.909,1.0,9.0,,
18,2018,40.4959,30.2326,,,,646.677,,,,,,2.0,0.004,38.5965,12400.0,40.87,,,,,66.0714,11.0,10.0,90.909,1.0,12.0,75.0,
19,2019,,,,,,,,,,,,,,,18000.0,,,,,,,11.0,10.0,90.909,1.0,14.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
