,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2008,12.8099,,,,,,,,,,,,,3.5088,30700.0,,,,,,51.7857,14.0,12.0,85.714,1.0,8.0,75.0,
9,2009,42.9752,42.6357,156.0,368.0,0.51,368.0,,721.0,3218.0,1.1,34.0,0.0,0.0,29.8246,30513.0,,,,0.0,27.93,57.1429,12.0,11.0,91.667,1.0,9.0,75.0,0.115
10,2010,42.562,40.3101,149.0,362.0,0.523,362.0,,692.0,4603.0,0.5,50.0,,,38.5965,31200.0,44.0,,,1.0,,51.7857,12.0,9.0,75.0,1.0,8.0,75.0,
11,2011,42.562,40.3101,145.0,359.0,529.499,359.0,,0.678,3409.0,0.4,52.0,,,38.5965,31900.0,44.0,,,0.0,,51.7857,12.0,11.0,91.667,1.0,7.0,75.0,
12,2012,41.7355,38.7597,151.0,364.0,0.517,364.0,,704.0,4072.0,0.6,56.0,,,38.5965,32500.0,44.0,,,1.0,,51.7857,12.0,11.0,91.667,1.0,7.0,75.0,
13,2013,41.3223,46.5116,148.0,379.0,0.348,381.0,,1088.0,3980.0,0.29,54.0,,,19.2982,33600.0,,,,1.0,,51.7857,12.0,11.0,91.667,1.0,11.0,75.0,
14,2014,42.1488,46.5116,147.0,365.0,0.337,367.0,,1082.0,4837.0,0.41,50.0,,,19.2982,34000.0,,,,2.0,,55.3571,12.0,11.0,91.667,1.0,9.0,75.0,
15,2015,28.0992,19.3798,,,,,,,3600.0,,49.705,,,21.0526,34500.0,,,,,,55.3571,11.0,10.0,90.909,1.0,10.0,75.0,
16,2016,28.5124,21.7054,,,,,,,4200.0,,54.648,,,17.5439,37300.0,,,,,,55.3571,11.0,10.0,90.909,1.0,6.0,75.0,
17,2017,37.1901,33.3333,,,,369.0,,,4200.0,,61.678,,,22.807,40400.0,,,,,,60.7143,11.0,10.0,90.909,1.0,8.0,75.0,0.0
18,2018,35.124,31.7829,,,,512.0,,,5100.0,,79.819,,,22.807,50200.0,,,,,,55.3571,13.0,11.0,84.615,1.0,9.0,75.0,
19,2019,,,,,,,,,,,,,,,49500.0,,,,,,,10.0,9.0,90.0,1.0,6.0,75.0,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
