,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,16.5289,4.6512,,,,2730.0,,,22789.199,,,,,8.7719,94593.0,,,,,,51.7857,14.0,13.0,92.857,3.0,6.0,96.86,
7,2007,22.314,13.1783,,,,2750.0,,,20063.6,,,,,14.0351,101333.0,,,,,,51.7857,14.0,13.0,92.857,3.0,6.0,94.04,
8,2008,23.5537,15.5039,,,,2770.0,,,20366.4,,,,,14.0351,112887.0,,,,,,51.7857,14.0,13.0,92.857,3.0,8.0,93.14,
9,2009,25.2066,16.2791,,,,2050.0,,,17905.801,,,,,19.2982,93813.0,,,,,,51.7857,15.0,14.0,93.333,3.0,6.0,98.37,
10,2010,,,,,,2675.0,,7220.0,18429.0,,750.0,,,,104490.0,,,,,,,12.0,11.0,91.667,1.0,9.0,97.08,
11,2011,31.405,24.031,,,,2750.0,,7907.0,19872.0,,914.0,,,19.2982,125099.0,,,,,,60.7143,15.0,14.0,93.333,1.0,7.0,96.0,
12,2012,37.6033,33.3333,,,,2508.0,,7139.56,18830.0,,816.72,,,24.5614,125341.0,,,,,,60.7143,16.0,15.0,93.75,1.0,6.0,98.0,
13,2013,40.9091,33.3333,,,,2470.0,,7746.0,15687.0,,698.0,,,28.0702,118501.0,,,,,,71.4286,15.0,14.0,93.333,1.0,7.0,75.0,0.19
14,2014,39.6694,33.3333,,,,2470.0,,7611.11,16429.4,,772.0,,,28.0702,114233.0,,,,,,66.0714,12.0,11.0,91.667,1.0,7.0,75.0,0.359
15,2015,40.9091,35.6589,,,,2340.0,,6869.0,14460.9,,676.0,,,28.0702,105700.0,,,,,,66.0714,12.0,11.0,91.667,1.0,7.0,100.0,0.129
16,2016,42.9752,34.8837,,,,2177.0,,,14650.2,,558.0,,,33.3333,95400.0,20.0,,,,,71.4286,12.0,11.0,91.667,1.0,9.0,96.296,0.338
17,2017,40.9091,34.8837,,,,2150.0,,,23343.199,,599.0,,,28.0702,98400.0,,,,,,67.8571,13.0,12.0,92.308,1.0,8.0,97.0,0.079
18,2018,42.9752,34.8837,,,,2250.0,,,14574.5,,635.0,,,38.5965,104000.0,20.0,,,1.0,,66.0714,12.0,11.0,91.667,1.0,6.0,98.61,
19,2019,,,,,,,,,,,,,,,102300.0,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
