,Year,ESG Disclosure Score,Environmental Disclosure Score,Direct CO2 Emissions,Total CO2 Emissions,CO2 Intensity per Energy,Total GHG Emissions,NOx Emissions,Total Energy Consumption,Total Water Use,Hazardous Waste,Total Wasts,Environmental Fines #,Environmental Fines $,Social Disclosure Score,Number of Employees,% Women in Workforce,% Women in Mgt,Workforce Accidents,Fatalities - Employees,Community Spending,Governance Disclosure Score,Size of Board,Indep Directors,% Indep Directors,Board Duration (Years),# Board Meetings,Board Mtg Attendance,Political Donations
0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2007,15.7895,19.6429,,,,68.545,,,,,,,,3.3333,10000.0,,,,,,21.4286,12.0,,,,,,
8,2008,24.5614,19.6429,,,,66.911,,,,,,,,8.3333,15000.0,,,,,0.5,51.7857,13.0,12.0,92.308,3.0,6.0,75.0,
9,2009,23.2456,16.9643,,,,66.619,,,,,,,,8.3333,15000.0,,,,,0.55,51.7857,12.0,11.0,91.667,3.0,6.0,75.0,
10,2010,19.7368,12.5,,,,,,,,,,,,3.3333,16000.0,,,,,,51.7857,12.0,11.0,91.67,3.0,5.0,75.0,
11,2011,25.0,20.5357,,,,60.356,,,,,,,,8.3333,16500.0,,,,,,51.7857,14.0,13.0,92.857,3.0,6.0,75.0,
12,2012,27.6316,20.5357,,,,62.614,,,,,,,,18.3333,17000.0,,,,,4.3,51.7857,12.0,11.0,91.67,3.0,5.0,75.0,
13,2013,32.4561,30.3571,,,,54.449,,,,,,,,18.3333,20000.0,,,,,,51.7857,12.0,11.0,91.667,1.0,6.0,75.0,
14,2014,32.0175,27.6786,,,,58.217,,,,,,,,18.3333,21000.0,,,,,,55.3571,14.0,13.0,92.857,1.0,6.0,75.0,
15,2015,33.3333,27.6786,,,,55.948,,,,,,,,23.3333,22000.0,,,,,,55.3571,14.0,13.0,92.857,1.0,8.0,75.0,
16,2016,33.3333,25.8929,,,,55.948,,,,,,,,26.6667,31000.0,,,,,,55.3571,16.0,15.0,93.75,1.0,6.0,75.0,
17,2017,37.2807,33.9286,,,,80.132,,255.264,344.473,,4.6,,,26.6667,31000.0,,,,,,55.3571,16.0,15.0,93.75,1.0,5.0,75.0,
18,2018,35.0877,33.9286,,,,71.488,,228.408,9350.0,,4.1,,,18.3333,32700.0,,,,,,55.3571,15.0,14.0,93.333,1.0,6.0,75.0,
19,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
